#Recorded data from Servotor32
#datetime: 20-11-2020_22h-45m-01s
#filename: wave_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-45m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,990,493,-129,128,566,1033
1,0,0,110,0,7000,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,1010,548,-143,105,543,1033
2,1,112,110,16,7000,-7000,-4200,-1400,1400,4200,4457,380,1780,3180,4580,5980,1000,493,-114,128,561,1000
3,2,224,111,14,6999,-7000,-4200,-1400,1400,4201,4940,308,1708,3108,4508,5908,835,432,-29,314,636,1067
4,3,337,111,18,6999,-7001,-4200,-1400,1401,4201,5423,236,1636,3036,4436,5836,701,295,29,395,642,1033
5,4,449,110,20,6998,-7001,-4200,-1400,1401,4201,5901,164,1564,2964,4364,5765,763,116,0,419,642,1067
6,5,563,110,14,6996,-6999,-4199,-1399,1401,4201,6377,93,1493,2893,4293,5693,835,110,-71,442,671,833
7,6,676,110,18,6972,-6977,-4185,-1394,1397,4188,6832,21,1421,2821,4221,5623,907,137,-57,395,636,783
8,7,788,110,12,6733,-6749,-4048,-1347,1354,4055,7292,-50,1350,2750,4150,5551,866,96,-43,430,659,1067
9,8,903,111,11,6760,-6762,-4057,-1352,1353,4058,7394,-122,1278,2678,4078,5482,948,96,-71,442,647,733
10,9,1018,111,10,2837,-2882,-1725,-567,590,1747,7322,-195,1206,2605,4005,5409,1000,103,-57,453,653,983
11,10,1130,110,14,438,-439,-257,-95,86,267,7251,-266,1504,2534,3934,5338,969,158,-57,430,688,1000
12,11,1243,111,4,870,2348,3967,-4028,-2395,-762,7178,217,1987,2462,3862,5266,948,103,-43,384,671,1067
13,12,1357,111,11,4908,9906,580,-10151,-5131,-111,7106,700,1921,2390,3790,5194,1000,116,43,302,555,650
14,13,1470,110,14,4324,7491,-5760,-5190,-2018,1153,7035,1179,1850,2318,3718,5122,948,62,0,384,618,917
15,14,1583,111,12,4218,7072,-6819,-4345,-1490,1364,6963,1661,1778,2246,3646,5050,969,75,443,384,590,950
16,15,1697,111,15,4203,7010,-6974,-4221,-1413,1395,6891,2144,1706,2174,3574,4978,979,103,814,442,578,967
17,16,1809,110,13,4200,7002,-6996,-4203,-1402,1399,6819,2623,1634,2102,3502,4906,1031,137,800,465,555,950
18,17,1922,110,12,4200,7000,-6999,-4201,-1400,1400,6748,3101,1563,2031,3431,4835,990,212,729,360,572,950
19,18,2035,110,14,4200,7000,-7000,-4200,-1400,1400,6676,3580,1491,1959,3359,4763,1082,315,786,291,584,633
20,19,2147,110,11,4200,7000,-7000,-4200,-1400,1400,6605,4058,1420,1888,3288,4692,990,384,757,430,555,1017
21,20,2262,112,11,4200,7000,-7000,-4200,-1400,1400,6532,4546,1347,1815,3215,4619,990,507,643,407,520,950
22,21,2377,111,12,4200,7000,-7000,-4200,-1400,1400,6460,5028,1275,1743,3143,4547,938,603,543,360,497,617
23,22,2488,110,12,4200,7000,-7000,-4200,-1400,1400,6388,5507,1203,1671,3071,4475,918,719,500,395,520,450
24,23,2600,110,10,4199,6999,-7000,-4200,-1399,1401,6317,5985,1132,1600,3000,4404,1010,767,629,465,497,500
25,24,2712,110,10,4199,6999,-6999,-4199,-1400,1400,6245,6410,1060,1528,2928,4332,1041,938,629,349,364,933
26,25,2824,110,6,3855,6426,-6426,-3855,-1285,1285,6174,6357,989,1457,2857,4266,959,1014,629,302,451,317
27,26,2936,110,10,656,1152,-1197,-700,-204,293,6102,6286,917,1385,2785,4195,979,993,643,279,468,917
28,27,3048,110,12,101,177,-184,-108,-31,45,6031,6214,846,1314,2714,4123,959,979,471,279,451,483
29,28,3160,110,10,16,28,-26,-18,-6,6,5959,6143,775,1242,2642,4052,948,1000,443,279,301,633
30,29,3272,110,9,3,8,2,-8,-5,-1,5888,6071,705,1171,2571,3980,959,1021,371,349,399,850
31,30,3384,111,6,3,9,14,-14,-9,-3,5815,5999,634,1099,2499,3908,928,973,357,360,410,900
32,31,3497,111,10,4,13,21,-21,-13,-4,5743,5927,566,1027,2427,3836,887,986,257,360,422,933
33,32,3609,110,13,10,31,51,-51,-31,-10,5672,5855,497,955,2355,3764,990,979,443,326,335,433
34,33,3722,111,10,5,16,27,-27,-16,-5,5600,5783,428,883,2283,3692,990,993,386,326,382,367
35,34,3835,110,9,7,22,36,-36,-22,-7,5528,5712,370,813,2211,3621,866,959,214,163,445,250
36,35,3947,110,11,28,98,169,-142,-111,-41,5457,5640,318,741,2140,3549,928,938,286,349,220,367
37,36,4062,112,11,45,140,235,-230,-140,-49,5384,5567,322,669,2067,3477,928,966,171,186,370,367
38,37,4176,111,9,169,509,849,-844,-511,-172,5312,5495,667,597,1995,3404,907,973,186,267,399,233
39,38,4288,110,12,916,2749,4583,-4582,-2750,-916,5240,5424,1145,525,1924,3333,856,952,57,244,387,867
40,39,4400,110,11,1325,3977,6628,-6628,-3977,-1326,5169,5352,1624,454,1852,3261,856,945,129,267,324,850
41,40,4512,110,15,1389,4166,6943,-6943,-4166,-1389,5097,5281,2102,382,1781,3190,856,952,400,163,301,167
42,41,4624,111,6,1399,4195,6991,-6992,-4195,-1398,5025,5209,2585,310,1708,3118,773,911,643,116,324,50
43,42,4737,110,10,1400,4201,6997,-7000,-4199,-1398,4954,5138,3063,239,1637,3046,825,911,871,209,312,83
44,43,4848,110,12,1401,4202,6998,-7001,-4200,-1399,4882,5066,3542,167,1565,3003,773,904,914,151,312,-117
45,44,4962,111,10,1093,4018,6936,-6940,-4016,-1091,4810,4994,4025,95,1493,2944,845,890,929,209,301,-50
46,45,5076,111,11,1213,4089,6960,-6963,-4087,-1211,4738,4922,4508,23,1421,2874,742,890,914,174,208,0
47,46,5188,110,12,1359,4177,6989,-6993,-4175,-1357,4666,4852,4986,-49,1350,2803,753,863,957,163,324,-17
48,47,5300,110,10,1386,4197,6988,-7001,-4191,-1380,4595,4781,5465,-120,1278,2735,722,870,929,140,260,-50
49,48,5412,110,10,1368,4186,6984,-6998,-4179,-1361,4523,4710,5943,-192,1207,2885,711,877,943,116,254,-183
50,49,5524,111,6,-1015,2755,6509,-6519,-2749,1020,4451,4638,6412,-264,1135,2816,722,877,971,116,243,-150
51,50,5636,110,12,971,3870,6766,-6768,-3869,-970,4380,4566,6886,-335,1063,2744,701,856,900,128,266,-367
52,51,5748,110,11,1326,4123,6914,-6918,-4121,-1324,4308,4497,7268,-407,992,2673,722,822,957,105,249,-267
53,52,5862,111,11,1195,3586,5918,-5957,-3566,-1175,4236,4425,7196,-479,919,2601,701,849,1014,174,231,-200
54,53,5976,110,10,185,555,914,-921,-551,-181,4164,4353,7125,-550,848,2529,742,815,929,128,249,-733
55,54,6088,110,12,27,86,144,-136,-90,-31,4093,4282,7053,-589,779,2458,619,801,971,128,139,-833
56,55,6202,111,11,-85,78,240,354,-339,-247,4021,4210,6981,-462,707,2386,629,788,1057,140,254,-650
57,56,6315,110,9,-438,436,1310,2176,-2174,-1311,3949,4138,6910,16,635,2314,691,795,900,93,208,-583
58,57,6427,110,11,-1252,1252,3755,6258,-6257,-3755,3878,4067,6838,495,564,2243,670,781,914,58,225,-683
59,58,6541,111,10,-1378,1378,4135,6892,-6891,-4135,3806,3995,6766,978,492,2170,588,808,900,81,208,-683
60,59,6655,110,12,-1397,1397,4190,6983,-6983,-4190,3734,3923,6694,1456,420,2099,608,767,957,58,133,-617
61,60,6767,110,10,-1399,1399,4198,6997,-6997,-4198,3663,3852,6623,1935,349,2027,619,781,957,151,121,-667
62,61,6880,110,10,-1400,1400,4200,7000,-7000,-4200,3591,3780,6551,2413,277,1956,680,788,943,256,197,-633
63,62,6991,110,13,-1400,1400,4200,7000,-7000,-4200,3520,3709,6480,2892,206,1884,557,836,914,279,220,-700
64,63,7104,111,6,-1400,1400,4200,7000,-7000,-4200,3447,3636,6408,3375,134,1812,505,760,929,326,225,-750
65,64,7216,110,10,-1400,1400,4200,7000,-7000,-4200,3376,3565,6336,3853,62,1741,557,753,986,395,214,-767
66,65,7328,110,11,-1400,1400,4200,7000,-7000,-4200,3304,3493,6265,4332,-9,1669,577,753,929,500,173,-700
67,66,7442,112,10,-1400,1400,4200,7000,-7000,-4200,3232,3421,6192,4819,-82,1596,464,774,914,558,87,-717
68,67,7555,110,9,-1400,1400,4200,7000,-7000,-4200,3160,3349,6121,5297,-154,1525,588,733,914,674,121,-750
69,68,7667,110,11,-1400,1400,4200,7000,-7000,-4200,3089,3278,6049,5776,-225,1453,546,705,971,756,191,-717
70,69,7780,110,10,-1400,1400,4200,6999,-6999,-4200,3017,3206,5978,6254,-297,1382,536,719,857,779,208,-683
71,70,7891,110,10,-1400,1400,4199,6998,-6999,-4199,2946,3135,5906,6731,-368,1310,505,671,886,849,185,-733
72,71,8003,110,5,-1396,1396,4188,6980,-6981,-4188,2874,3063,5835,7183,-440,1239,423,774,871,919,214,-933
73,72,8118,111,10,-1342,1342,4027,6711,-6711,-4027,2802,2991,5762,7260,-512,1167,381,753,929,965,58,-567
74,73,8230,110,12,-524,524,1572,2620,-2620,-1572,2731,2920,5691,7188,-583,1096,505,651,857,1000,191,-667
75,74,8343,111,3,-79,75,229,383,-382,-228,2658,2847,5619,7116,-654,1355,371,705,857,919,191,-783
76,75,8457,111,10,-3589,-2134,-678,777,2098,3525,2586,2775,5547,7044,-172,1838,443,699,857,965,191,-750
77,76,8569,110,13,-10024,-5065,-106,4852,9791,552,2515,2704,5475,6972,306,2301,454,616,814,953,179,-700
78,77,8682,110,12,-10853,-5418,17,5452,10883,-81,2443,2632,5404,6924,785,2381,258,651,743,849,121,-550
79,78,8795,110,9,-6911,-2950,1012,4974,8326,-4451,2372,2561,5332,6853,1263,2310,299,589,871,965,156,117
80,79,8907,110,11,-4617,-1638,1340,4319,7204,-6608,2300,2489,5261,6781,1742,2238,247,432,857,1023,185,483
81,80,9020,111,10,-4261,-1435,1391,4217,7030,-6943,2228,2417,5188,6709,2224,2166,186,390,829,1070,237,717
82,81,9131,110,13,-4209,-1405,1399,4203,7005,-6991,2157,2346,5117,6638,2703,2095,155,397,800,930,283,717
83,82,9244,111,6,-4201,-1401,1400,4200,7001,-6999,2084,2273,5045,6566,3186,2023,175,438,757,953,318,750
84,83,9357,110,10,-4200,-1400,1400,4200,7000,-7000,2013,2202,4973,6494,3664,1951,144,370,900,884,243,600
85,84,9468,110,12,-4200,-1400,1400,4200,7000,-7000,1941,2130,4902,6423,4143,1880,124,342,843,953,468,667
86,85,9581,110,10,-4200,-1400,1400,4200,7000,-7000,1870,2059,4830,6351,4621,1808,134,418,700,953,555,633
