#Recorded data from Servotor32
#datetime: 20-11-2020_22h-45m-01s
#filename: wave_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-45m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,0.99,0.493,-0.129,0.128,0.566,1.033,0.99,0.493,0.0,0.128,0.566,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.11,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.979,0.451,1.851,3.251,4.651,6.052,1.01,0.548,-0.143,0.105,0.543,1.033,1.0,0.548,0.0,0.105,0.543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.599,0.071,0.2,0.448,0.725,0.895,7.0,3.836,0.0,0.735,3.801,7.0,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.112,0.11,0.016,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.457,0.38,1.78,3.18,4.58,5.98,1.0,0.493,-0.114,0.128,0.561,1.0,1.0,0.493,0.0,0.128,0.561,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.691,0.068,0.19,0.433,0.946,0.947,7.0,3.451,0.0,0.896,3.927,7.0,0.841,0.841,0.841,0.841,1.266,0.973
3,2,0.224,0.111,0.014,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.94,0.308,1.708,3.108,4.508,5.908,0.835,0.432,-0.029,0.314,0.636,1.067,0.835,0.432,0.0,0.314,0.636,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.771,0.064,0.181,0.418,0.941,0.943,5.845,3.024,0.0,2.198,2.958,6.052,0.841,0.841,0.841,0.841,1.266,0.973
4,3,0.337,0.111,0.018,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.423,0.236,1.636,3.036,4.436,5.836,0.701,0.295,0.029,0.395,0.642,1.033,0.701,0.295,0.029,0.395,0.642,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.834,0.06,0.172,0.404,0.935,0.939,4.907,2.065,0.203,2.765,2.986,6.052,0.841,0.841,0.841,0.841,1.266,0.973
5,4,0.449,0.11,0.02,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.901,0.164,1.564,2.964,4.364,5.765,0.763,0.116,0.0,0.419,0.642,1.067,0.763,0.116,0.0,0.419,0.642,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.883,0.057,0.164,0.389,0.93,0.935,5.341,0.812,0.0,2.933,2.986,6.052,0.841,0.841,0.841,0.841,1.266,0.973
6,5,0.563,0.11,0.014,6.996,-6.999,-4.199,-1.399,1.401,4.201,6.377,0.093,1.493,2.893,4.293,5.693,0.835,0.11,-0.071,0.442,0.671,0.833,0.835,0.11,0.0,0.442,0.671,0.833,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.918,0.054,0.156,0.375,0.924,0.931,5.845,0.77,0.0,3.094,3.121,5.041,0.841,0.841,0.841,0.841,1.266,0.973
7,6,0.676,0.11,0.018,6.972,-6.977,-4.185,-1.394,1.397,4.188,6.832,0.021,1.421,2.821,4.221,5.623,0.907,0.137,-0.057,0.395,0.636,0.783,0.907,0.137,0.0,0.395,0.636,0.783,0.996,0.0,0.0,0.0,0.0,0.0,0.958,0.0,0.0,0.0,0.0,0.06,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.943,0.051,0.148,0.361,0.917,0.926,6.349,0.959,0.0,2.765,2.958,4.739,0.841,0.841,0.841,0.841,1.266,0.973
8,7,0.788,0.11,0.012,6.733,-6.749,-4.048,-1.347,1.354,4.055,7.292,-0.05,1.35,2.75,4.15,5.551,0.866,0.096,-0.043,0.43,0.659,1.067,0.866,0.096,0.0,0.43,0.659,1.0,0.958,0.0,0.0,0.0,0.0,0.06,0.966,0.0,0.0,0.0,0.0,0.0,3.646,3.475,3.5,3.5,2.326,3.026,0.0,-0.05,0.0,0.0,0.0,0.0,7.292,7.0,7.0,7.0,4.651,6.052,0.95,0.05,0.141,0.347,0.91,0.921,6.062,0.672,0.0,3.01,3.065,6.052,0.808,0.835,0.841,0.841,1.266,0.973
9,8,0.903,0.111,0.011,6.76,-6.762,-4.057,-1.352,1.353,4.058,7.394,-0.122,1.278,2.678,4.078,5.482,0.948,0.096,-0.071,0.442,0.647,0.733,0.948,0.096,0.0,0.442,0.647,0.733,0.966,0.0,0.0,0.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.131,3.697,3.439,3.5,3.5,2.326,3.026,0.0,-0.122,0.0,0.0,0.0,0.0,7.394,7.0,7.0,7.0,4.651,6.052,0.95,0.05,0.134,0.334,0.902,0.916,6.913,0.627,0.0,3.094,3.009,4.436,0.796,0.827,0.841,0.841,1.266,0.973
