#Recorded data from Servotor32
#datetime: 21-11-2020_00h-33m-24s
#filename: tetrapod_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-33m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-25345,255,0,28672,-28649,232,28672,23,-28672,-18200,22027,3588,-18416,3595,22032,-3580,-1277,-10751,-30721,-1280,3841,4
2,29184,28672,3328,28672,-28649,232,28672,23,-28672,-7448,10766,-7677,-7666,-7666,10766,1283,260,-21758,20479,-9984,-6143,515
3,-7168,28416,4608,28672,-28649,232,28672,23,-28672,30696,-27632,19458,30478,19472,-27634,8962,5380,-4862,28673,-15104,-3071,769
4,21248,28161,5120,28672,-28649,232,28672,23,-28672,2536,18,-18430,2317,-18414,13,19202,15363,20481,-4606,20993,27393,1025
5,-15104,28417,3840,28416,-28393,232,28416,23,-28416,-25112,27155,8705,-25331,8723,27149,14337,-11517,9472,-1022,514,-30462,1280
6,14592,28418,6400,27392,-27369,232,27392,23,-27392,12008,-11243,-29696,11788,-29675,-11252,-13568,-25085,-23552,10498,19459,-2558,1791
7,-22272,28162,5632,18432,-18409,232,18432,23,-18432,-21016,16150,-2304,-19445,-2282,16139,29184,11779,31232,24834,15875,-9982,2047
8,6400,28163,3072,-8960,8982,233,-8960,22,8960,-3863,-21738,25599,5131,25368,-21749,-8449,5123,-9216,-31998,-25597,27905,2303
9,-30208,28163,3328,27136,-27120,239,27136,16,-27136,23535,5654,-12545,-32758,-12777,5642,-769,1795,-12800,-29182,-4861,25345,2559
10,-1792,28163,2560,-30464,30466,253,-30464,2,30464,-14339,-30443,15102,-5366,14870,-23798,13824,18436,8960,-31997,-28925,10241,2815
11,27392,28420,2816,24320,-21504,-2551,24565,-2560,-21259,12553,7701,-23552,21769,-23530,14345,1282,4,9472,-17662,-23805,10241,3071
12,-9728,28164,3840,3840,20992,-24555,4074,-24576,21226,-25323,-20460,3841,-16119,3861,-14071,-1021,6659,16640,-23294,26115,12801,3327
13,19200,28421,3584,512,8448,-8937,744,-8960,8680,1815,17684,31235,11016,31253,24072,-3579,16899,-19200,-20479,5379,-12543,3583
14,-17152,28421,3072,0,25600,-25833,232,-25856,25832,28951,-9709,-7164,-27385,-7148,-3065,-21242,28675,-15616,-26367,8963,5121,3584
15,11264,28166,3328,0,28160,-28137,232,-28160,28392,-9193,27410,20230,263,20244,-31481,-23800,25347,-26624,-17663,-8445,-25344,3840
16,-25088,28678,3328,0,28672,-28649,232,-28672,28904,17687,1042,-18424,26886,-18413,7686,-18678,28675,-19200,-23295,-22269,-10240,4096
17,3840,28167,4096,0,28672,-28649,232,-28672,28904,-20201,-27119,9225,-11002,9234,-20730,29195,-3325,3072,-11775,-8445,17408,4353
18,32512,28167,3072,0,28672,-28649,232,-28672,28904,7191,10001,-28917,16389,-28910,16645,-18675,16899,24577,30721,-22269,-25600,4609
19,-4352,28167,3072,0,28672,-28649,232,-28672,28904,-30697,-18160,-1268,-21500,-1263,-11772,-28658,-25085,-15103,-32000,-17149,-512,4865
20,24320,28168,4096,0,28672,-28649,232,-28672,28904,-3305,18959,26126,5892,26129,25604,19216,6915,-29438,24832,-24061,-512,5121
21,-12544,28424,1536,0,28672,-28649,232,-28672,28904,23831,-8433,-12273,-32253,-12272,-1789,19217,27139,28930,16128,-27389,-23552,5378
22,16640,28425,2816,0,28672,-28649,232,-28672,28904,-14313,29710,14865,-5117,14863,-29181,-23789,-6397,-18686,19200,22531,-13312,5634
23,-20224,28169,3328,0,28416,-28393,232,-28416,28648,13079,1550,-23021,22274,-23025,7682,9237,-4605,-22270,10496,27651,9216,5891
24,8704,28426,3072,0,26880,-26857,232,-26880,27112,-25321,-27379,4116,-16126,4110,-19966,6678,22275,-11517,-18176,13826,9216,6147
25,-27648,28170,4352,0,20224,-20201,232,-20224,20456,2327,1549,31766,11521,31758,13313,-23528,-29694,3,-6656,18946,29184,6403
26,768,28171,3072,0,-29696,29718,233,29696,-29463,29718,5388,-6377,-26624,-6387,21504,32025,-24574,-17917,-12289,3586,31744,6659
27,29696,28427,2816,0,-9216,9234,237,9216,-8979,-8686,-28917,20758,768,20749,-15872,-25832,-24574,-14333,-12289,8706,-31232,6915
28,-6656,28171,3072,0,16128,-16125,252,-16128,16380,18947,-1525,-15851,28415,-13300,11775,16920,-21246,3587,-26880,-5118,-20993,7171
29,22016,28172,2816,-24832,-32513,-7936,-24577,-7681,-32513,-19200,26122,-29163,-9473,3083,-26367,12055,-17918,14339,-26880,-13822,-23553,7427
30,-14336,28428,2560,-20736,5109,15872,-20726,16117,4874,7936,-12278,8980,17409,-24309,770,-3049,-14591,10755,-32768,-8702,-15873,7683
31,14080,28173,3840,-27392,1002,26624,-27371,26858,789,-29952,15113,-19436,-20734,12810,28164,-3050,3841,21764,4096,-17406,-3073,7938
32,-22784,28173,1792,-8192,232,8192,-8169,8424,23,-2560,-22776,17939,6916,-15350,-9723,-5611,-4351,-29437,-16128,-1791,14591,8195
33,6144,28430,3328,-25600,232,25600,-25577,25832,23,24832,4360,-9453,-31483,22793,17415,-15595,-17919,-11517,-30464,1793,-768,8450
34,-30720,28174,3328,-28160,232,28160,-28137,28392,23,-13312,31751,27922,-4089,-5624,-20728,27412,-29695,-25853,26624,27649,29184,8707
35,-1792,28174,3072,-28672,232,28672,-28649,28904,23,14336,-6137,-495,23560,31752,6922,27412,-16127,-11517,26624,-17151,14336,8963
36,27392,28431,4608,-28672,232,28672,-28649,28904,23,-24064,20998,-27887,-14838,4359,-31476,32275,-28159,28163,-27647,-3327,21760,9219
37,-9472,28175,3072,-28672,232,28672,-28649,28904,23,3328,-16890,9488,12812,-24057,-4083,9746,-31487,-8445,17921,26113,24321,9475
38,19712,28688,2816,-28672,232,28672,-28649,28904,23,30208,9733,-16880,-26099,15110,22799,12306,18945,-8445,29441,-9983,11777,9731
39,-16640,28432,4352,-28672,232,28672,-28649,28904,23,-8192,-28412,21263,1039,-12282,-15600,12305,20737,-27133,-7934,5632,-766,9986
40,12032,28177,3072,-28672,232,28672,-28649,28904,23,19456,-1020,-7154,28688,25093,12050,2321,7169,-23549,3586,-20223,-766,10242
41,-24576,28433,2816,-28672,232,28672,-28649,28904,23,-18944,26115,30478,-9710,-2300,-26349,-7920,3840,12547,-2301,-15104,-8446,10498
42,4608,28178,4096,-26112,232,26112,-26089,26344,23,8448,-11773,-2291,17939,-30716,1301,-15344,3840,30467,515,-6399,-8446,10754
43,-32256,28178,2816,-6912,232,6912,-6889,7144,23,-29440,15618,4621,-20203,1283,28695,-12785,2048,-20477,-25341,28160,-25853,11010
44,-3072,28178,3072,7168,235,-7168,7188,-6933,20,-2048,-22271,-8436,7444,-31485,-9193,-30450,-2816,-20478,-13821,31744,-13309,11266
45,26112,28179,4352,3072,246,-3072,3081,-2826,9,25600,5121,19212,-30700,-3838,18198,-17906,-7936,1026,28676,-19968,-28413,11522
46,-10752,28179,2816,30720,254,-30720,30721,-30466,1,-12288,-32768,-18933,-2797,23553,-19690,-27891,-9728,8194,-28156,-23552,27139,11778
47,17920,28180,2816,-13312,-2049,15615,-13312,15615,-2304,21503,-5376,8714,26387,-14335,7701,25101,-19712,8194,-30972,-28672,32003,12034
48,-18944,28180,3328,-32768,30464,2559,-32768,2304,30464,18943,22272,-29430,-6126,13056,-30187,15116,-18176,1026,31748,29952,22019,12290
49,9984,28181,1792,-1280,1026,509,-1280,258,1024,-14595,-15871,-1783,-15599,-24831,-2796,5131,-31488,-2558,25859,-21760,14595,12546
50,-26880,28181,2560,-25088,24848,239,-25088,16,24832,22511,11779,25609,21521,2563,24852,17675,-18176,-6142,-22269,-23552,14595,12802
51,1792,28182,3072,25344,-25322,233,25344,22,-25344,-5655,-26364,-12280,-6640,30212,-13293,27658,18944,-2558,31747,16128,4355,13058
52,30976,28438,3072,18688,-18665,232,18688,23,-18688,32488,774,14856,31504,-8186,13842,22538,20480,-13310,17155,28160,-23037,13313
53,-5632,28182,4352,27136,-27113,232,27136,23,-27136,4072,28424,-23289,3343,19208,-24046,30217,3584,30466,28675,14336,-18173,13569
54,23040,28183,2816,28416,-28393,232,28416,23,-28416,-24088,-9719,4358,-25073,-18679,3345,-7927,2048,-16894,-28157,11008,14851,13825
55,-13824,28183,2816,28672,-28649,232,28672,23,-28672,13032,17931,31750,12302,8715,30993,22280,5377,23298,515,9217,-25597,14081
56,14848,28184,3840,28672,-28649,232,28672,23,-28672,-15128,-20212,-6139,-16115,-29172,-7152,-18169,-21503,12545,17923,14337,24835,14337
57,-21760,28440,3072,28672,-28649,232,28672,23,-28672,23016,7182,20997,22029,-2034,19983,-25593,17153,5378,-30461,16129,-5373,14592
58,7168,28185,3584,28672,-28649,232,28672,23,-28672,-5144,-30961,-17148,-6132,25615,-17905,-5626,-8191,-20479,-30461,-9727,7170,14849
59,-29952,28185,3072,28672,-28649,232,28672,23,-28672,31976,-3311,10499,30988,-12527,9486,-20986,32258,-30719,9986,-23550,-17918,15104
60,-1024,28185,2816,28672,-28649,232,28672,23,-28672,3560,24083,-27645,2827,15123,-28402,-8443,-28414,31233,-29694,-11518,-15358,15360
61,27392,28186,3584,28416,-28393,232,28416,23,-28416,-27928,-13804,2,-25845,-23020,-1011,31748,16899,-19967,-3838,-27134,19970,15616
62,-9472,28442,1536,12800,-12777,232,12800,23,-12800,2792,13334,27138,11018,4118,26381,-28668,10243,-19967,10498,26371,19970,15872
63,19456,28187,2816,-14848,14870,233,-14848,22,14848,233,-24809,-10751,-24055,31767,-11764,-16125,-16637,27648,19202,15875,12546,16128
64,-17664,28187,3072,3328,-3308,235,3328,20,-3328,30187,2838,16641,6409,-6377,15883,-3581,-30205,9472,-17662,24579,27650,16384
