#Recorded data from Servotor32
#datetime: 21-11-2020_00h-33m-24s
#filename: tetrapod_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-33m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.981,0.981,0.981,0.981,0.981,0.981
1,-25345,0.255,0.0,28.672,-28.649,0.232,28.672,0.023,-28.672,-18.2,22.027,3.588,-18.416,3.595,22.032,-3.58,-1.277,-10.751,-30.721,-1.28,3.841,0.004,0.0,0.0,0.0,0.0,1.0,0.004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.761,1.0,0.529,0.0,0.0,16.141,3.0,-6.208,3.0,13.144,1.21,10.256,0.0,-18.416,0.0,4.256,-3.58,22.027,6.0,6.0,6.0,22.032,6.0,0.95,0.64,0.05,0.642,0.95,0.05,0.0,0.0,0.0,0.0,6.0,0.024,0.5,0.981,0.241,0.981,0.331,0.615
2,29184,28.672,3.328,28.672,-28.649,0.232,28.672,0.023,-28.672,-7.448,10.766,-7.677,-7.666,-7.666,10.766,1.283,0.26,-21.758,20.479,-9.984,-6.143,0.515,0.26,0.0,1.0,0.0,0.0,0.515,0.0,1.523,2.0,1.057,0.0,0.0,0.0,0.761,1.0,0.529,0.0,0.0,16.141,-0.839,-6.208,-0.833,13.144,1.21,10.256,-7.677,-18.416,-7.666,4.256,-3.58,22.027,6.0,6.0,6.0,22.032,6.0,0.064,0.05,0.413,0.05,0.313,0.511,13.316,0.0,6.0,0.0,4.256,1.354,0.5,0.431,0.241,0.431,0.331,0.615
3,-7168,28.416,4.608,28.672,-28.649,0.232,28.672,0.023,-28.672,30.696,-27.632,19.458,30.478,19.472,-27.634,8.962,5.38,-4.862,28.673,-15.104,-3.071,0.769,1.0,0.0,1.0,0.0,0.0,0.769,0.0,1.523,2.0,1.057,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-2.802,5.891,6.031,5.903,-2.801,2.691,-27.632,-7.677,-18.416,-7.666,-27.634,-3.58,22.027,19.458,30.478,19.472,22.032,8.962,0.05,0.95,0.95,0.95,0.05,0.95,22.027,-7.677,6.0,-7.666,4.256,3.787,0.119,0.217,0.12,0.217,0.119,0.47
4,21248,28.161,5.12,28.672,-28.649,0.232,28.672,0.023,-28.672,2.536,0.018,-18.43,2.317,-18.414,0.013,19.202,15.363,20.481,-4.606,20.993,27.393,1.025,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.802,0.514,6.031,0.529,-2.801,7.811,-27.632,-18.43,-18.416,-18.414,-27.634,-3.58,22.027,19.458,30.478,19.472,22.032,19.202,0.583,0.05,0.39,0.05,0.583,0.95,22.027,19.458,-18.416,19.472,22.032,8.962,0.119,0.155,0.12,0.155,0.119,0.258
5,-15104,28.417,3.84,28.416,-28.393,0.232,28.416,0.023,-28.416,-25.112,27.155,8.705,-25.331,8.723,27.149,14.337,-11.517,9.472,-1.022,0.514,-30.462,1.28,0.0,1.0,0.0,0.514,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.239,0.514,2.574,0.529,-0.242,7.811,-27.632,-18.43,-25.331,-18.414,-27.634,-3.58,27.155,19.458,30.478,19.472,27.149,19.202,0.95,0.781,0.05,0.781,0.95,0.844,-27.632,19.458,-18.416,1.059,-27.634,19.202,0.107,0.155,0.106,0.155,0.107,0.258
6,14592,28.418,6.4,27.392,-27.369,0.232,27.392,0.023,-27.392,12.008,-11.243,-29.696,11.788,-29.675,-11.252,-13.568,-25.085,-23.552,10.498,19.459,-2.558,1.791,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.788,1.0,0.0,0.0,0.77,0.0,-0.239,-10.496,2.574,-10.476,-0.242,2.817,-27.632,-29.696,-25.331,-29.675,-27.634,-13.568,27.155,8.705,30.478,8.723,27.149,19.202,0.235,0.05,0.726,0.05,0.234,0.05,-27.632,-18.43,30.478,19.472,-27.634,19.202,0.107,0.153,0.106,0.153,0.107,0.18
7,-22272,28.162,5.632,18.432,-18.409,0.232,18.432,0.023,-18.432,-21.016,16.15,-2.304,-19.445,-2.282,16.139,29.184,11.779,31.232,24.834,15.875,-9.982,2.047,1.0,1.0,1.0,1.0,0.0,1.0,1.577,2.0,0.0,0.0,1.541,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.956,-10.496,-6.772,-10.476,7.948,7.808,-11.243,-29.696,-25.331,-29.675,-11.252,-13.568,27.155,8.705,11.788,8.723,27.149,29.184,0.778,0.778,0.118,0.778,0.778,0.95,27.155,8.705,30.478,8.723,-27.634,19.202,0.153,0.153,0.159,0.153,0.153,0.138
8,6400,28.163,3.072,-8.96,8.982,0.233,-8.96,0.022,8.96,-3.863,-21.738,25.599,5.131,25.368,-21.749,-8.449,5.123,-9.216,-31.998,-25.597,27.905,2.303,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-2.794,-2.049,-3.828,-2.153,-2.805,7.808,-21.738,-29.696,-19.445,-29.675,-21.749,-13.568,16.15,25.599,11.788,25.368,16.139,29.184,0.05,0.95,0.844,0.95,0.05,0.096,27.155,-29.696,-25.331,-29.675,27.149,29.184,0.155,0.106,0.189,0.107,0.155,0.138
9,-30208,28.163,3.328,27.136,-27.12,0.239,27.136,0.016,-27.136,23.535,5.654,-12.545,-32.758,-12.777,5.642,-0.769,1.795,-12.8,-29.182,-4.861,25.345,2.559,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.794,-2.049,-13.814,-2.153,-2.805,10.368,-21.738,-29.696,-32.758,-29.675,-21.749,-8.449,16.15,25.599,5.131,25.368,16.139,29.184,0.788,0.246,0.05,0.243,0.788,0.149,16.15,-29.696,-19.445,-29.675,16.139,29.184,0.155,0.106,0.155,0.107,0.155,0.156
