#Recorded data from Servotor32
#datetime: 21-11-2020_00h-36m-54s
#filename: tripod_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-36m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2,228,111,18,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,888,457,380,-59,418,558
1,3,340,110,21,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,701,212,606,59,658,413
2,4,453,111,14,5098,-5098,5098,-5098,5098,-5098,4207,594,4207,594,4207,594,785,119,761,35,712,125
3,5,566,110,17,5090,-5090,5090,-5090,5090,-5090,4531,374,4531,374,4531,374,841,79,845,106,815,0
4,6,678,110,19,5047,-5047,5047,-5047,5047,-5047,4823,154,4789,154,4826,154,888,53,915,129,884,10
5,7,793,112,12,4706,-4706,4706,-4706,4706,-4706,4903,-70,4728,-70,5012,-70,916,7,958,106,884,-10
6,8,906,110,14,2978,-2978,2978,-2978,2978,-2978,4683,-290,4508,-290,4792,-290,1000,26,1014,129,911,-67
7,9,1018,110,10,459,-459,459,-459,459,-459,4463,-364,4288,-264,4572,-174,944,7,1070,-24,952,-48
8,10,1132,111,10,-1855,1855,-1855,1855,-1855,1855,4241,-31,4066,69,4350,159,1009,-7,1113,94,925,-163
9,11,1243,110,9,-4600,4600,-4600,4600,-4600,4600,4021,299,3846,399,4130,489,981,26,915,-71,897,-260
10,12,1355,110,6,-5023,5023,-5023,5023,-5023,5023,3801,629,3626,729,3910,819,963,0,845,47,890,-77
11,13,1467,110,14,-5088,5088,-5088,5088,-5088,5088,3581,959,3406,1059,3690,1149,991,46,915,47,884,10
12,14,1579,110,11,-5098,5098,-5098,5098,-5098,5098,3361,1289,3186,1389,3470,1479,925,192,887,176,815,96
13,15,1694,112,12,-5100,5100,-5100,5100,-5100,5100,3137,1625,2962,1725,3246,1815,991,152,915,176,801,202
14,16,1808,111,17,-5100,5100,-5100,5100,-5100,5100,2915,1958,2740,2058,3024,2148,944,185,859,224,774,135
15,17,1920,110,13,-5100,5100,-5100,5100,-5100,5100,2695,2288,2520,2388,2804,2478,794,305,648,247,808,221
16,18,2034,111,13,-5100,5100,-5100,5100,-5100,5100,2473,2621,2298,2721,2582,2811,804,397,620,341,699,385
