#Recorded data from Servotor32
#datetime: 21-11-2020_00h-36m-54s
#filename: tripod_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-36m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,2,0.228,0.111,0.018,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,0.888,0.457,0.38,-0.059,0.418,0.558,0.888,0.457,0.38,0.0,0.418,0.558,2.999,0.0,2.999,0.0,2.999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.76,0.148,0.76,0.148,0.76,0.148,3.546,1.036,3.546,1.036,3.546,1.036,1.155,1.155,1.155,1.155,1.155,1.155
1,3,0.34,0.11,0.021,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.701,0.212,0.606,0.059,0.658,0.413,0.701,0.212,0.606,0.059,0.658,0.413,2.999,0.0,2.999,0.0,2.999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.822,0.119,0.822,0.119,0.822,0.119,3.575,1.081,3.091,0.301,3.356,2.106,1.155,1.155,1.155,1.155,1.155,1.155
2,4,0.453,0.111,0.014,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.207,0.594,4.207,0.594,4.207,0.594,0.785,0.119,0.761,0.035,0.712,0.125,0.785,0.119,0.761,0.035,0.712,0.125,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.206,0.095,0.206,0.095,0.206,0.095,4.004,0.607,3.881,0.179,3.631,0.638,4.811,1.155,4.811,1.155,4.811,1.155
3,5,0.566,0.11,0.017,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.531,0.374,4.531,0.374,4.531,0.374,0.841,0.079,0.845,0.106,0.815,0.0,0.841,0.079,0.845,0.106,0.815,0.0,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.552,0.075,0.552,0.075,0.552,0.075,4.905,0.403,4.91,0.541,4.874,0.0,4.811,1.155,4.811,1.155,4.811,1.155
4,6,0.678,0.11,0.019,5.047,-5.047,5.047,-5.047,5.047,-5.047,4.823,0.154,4.789,0.154,4.826,0.154,0.888,0.053,0.915,0.129,0.884,0.01,0.888,0.053,0.915,0.129,0.884,0.01,2.964,0.0,2.964,0.0,2.964,0.0,0.604,0.0,0.563,0.0,0.609,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.834,0.059,0.81,0.059,0.836,0.059,4.963,0.27,4.996,0.658,4.958,0.051,4.811,1.155,4.811,1.155,4.811,1.155
5,7,0.793,0.112,0.012,4.706,-4.706,4.706,-4.706,4.706,-4.706,4.903,-0.07,4.728,-0.07,5.012,-0.07,0.916,0.007,0.958,0.106,0.884,-0.01,0.916,0.007,0.958,0.106,0.884,0.0,1.811,0.0,1.69,0.0,1.828,0.0,0.189,0.0,0.153,0.0,0.221,0.0,4.488,2.515,4.332,2.515,4.488,2.515,3.876,-0.07,3.876,-0.07,3.876,-0.07,5.1,5.1,4.789,5.1,5.1,5.1,0.88,0.05,0.928,0.05,0.926,0.05,4.997,0.036,5.049,0.541,4.958,0.0,4.811,1.139,6.45,1.139,4.811,1.139
6,8,0.906,0.11,0.014,2.978,-2.978,2.978,-2.978,2.978,-2.978,4.683,-0.29,4.508,-0.29,4.792,-0.29,1.0,0.026,1.014,0.129,0.911,-0.067,1.0,0.026,1.0,0.129,0.911,0.0,0.567,0.0,0.458,0.0,0.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,2.405,4.332,2.405,4.444,2.405,3.876,-0.29,3.876,-0.29,3.876,-0.29,4.903,5.1,4.789,5.1,5.012,5.1,0.843,0.05,0.756,0.05,0.859,0.05,5.1,0.064,4.789,0.597,4.991,-0.07,5.734,1.093,6.45,1.093,5.184,1.093
7,9,1.018,0.11,0.01,0.459,-0.459,0.459,-0.459,0.459,-0.459,4.463,-0.364,4.288,-0.264,4.572,-0.174,0.944,0.007,1.07,-0.024,0.952,-0.048,0.944,0.007,1.0,0.0,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.3,0.0,0.3,4.39,2.368,4.332,2.405,4.444,2.405,3.876,-0.364,3.876,-0.29,3.876,-0.29,4.903,5.1,4.789,5.1,5.012,5.1,0.604,0.05,0.429,0.051,0.66,0.056,4.845,-0.252,4.789,-0.29,4.957,-0.29,5.734,1.078,6.45,1.093,5.184,1.093
8,10,1.132,0.111,0.01,-1.855,1.855,-1.855,1.855,-1.855,1.855,4.241,-0.031,4.066,0.069,4.35,0.159,1.009,-0.007,1.113,0.094,0.925,-0.163,1.0,0.0,1.0,0.094,0.925,0.0,0.0,0.787,0.0,0.901,0.0,0.901,0.0,1.0,0.0,1.0,0.0,1.0,4.39,2.368,4.332,2.405,4.444,2.405,3.876,-0.364,3.876,-0.29,3.876,-0.29,4.903,5.1,4.789,5.1,5.012,5.1,0.299,0.07,0.152,0.072,0.381,0.079,4.903,-0.364,4.789,0.217,4.927,-0.29,5.734,1.078,6.45,1.093,5.184,1.093
9,11,1.243,0.11,0.009,-4.6,4.6,-4.6,4.6,-4.6,4.6,4.021,0.299,3.846,0.399,4.13,0.489,0.981,0.026,0.915,-0.071,0.897,-0.26,0.981,0.026,0.915,0.0,0.897,0.0,0.0,3.0,0.0,2.999,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,4.39,2.368,4.318,2.405,4.444,2.405,3.876,-0.364,3.846,-0.29,3.876,-0.29,4.903,5.1,4.789,5.1,5.012,5.1,0.108,0.097,0.05,0.101,0.164,0.11,4.883,-0.222,4.711,-0.29,4.895,-0.29,5.734,1.078,6.245,1.093,5.184,1.093
