#Recorded data from Servotor32
#datetime: 21-11-2020_00h-26m-50s
#filename: wave_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-26m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,113,111,17,7000,-7000,-4200,-1400,1400,4200,4466,379,1779,3179,4579,5979,1039,517,-26,12,483,1010
1,2,226,110,15,6999,-7000,-4200,-1400,1400,4201,4944,307,1707,3107,4507,5907,951,483,250,85,469,802
2,3,339,111,14,6999,-7001,-4200,-1400,1401,4201,5427,235,1635,3035,4435,5835,755,278,105,317,587,970
3,4,452,111,18,6998,-7001,-4200,-1400,1401,4201,5910,163,1563,2963,4363,5763,765,252,224,293,559,861
4,5,564,110,20,6996,-6999,-4199,-1399,1401,4200,6386,91,1491,2891,4291,5692,853,291,105,390,608,950
5,6,678,111,14,6971,-6975,-4185,-1394,1396,4187,6841,19,1419,2819,4219,5620,912,258,132,293,552,832
6,7,791,110,14,6697,-6701,-4020,-1339,1341,4022,7195,-52,1348,2748,4148,5549,922,311,132,293,573,851
7,8,903,110,12,5615,-5616,-3369,-1123,1123,3370,7124,-124,1276,2676,4076,5477,961,331,92,317,622,832
8,9,1017,112,10,787,-787,-472,-157,157,472,7052,-197,1206,2603,4003,5404,951,272,92,280,608,842
9,10,1130,110,9,125,-108,-50,-46,11,68,6980,-268,1160,2532,3932,5333,951,238,79,366,629,683
10,11,1242,110,11,76,151,267,-285,-165,-45,6909,-337,1092,2460,3860,5261,980,212,184,378,594,901
11,12,1356,112,10,31,65,51,-89,-49,-9,6836,-410,1022,2388,3788,5188,990,338,158,220,531,851
12,13,1471,111,11,10,28,39,-42,-27,-8,6764,-482,951,2316,3715,5116,1000,245,171,220,462,782
13,14,1583,110,12,8,22,19,-26,-18,-5,6692,-552,883,2244,3644,5045,971,238,145,268,559,822
14,15,1696,111,10,15,38,34,-51,-30,-7,6620,-624,818,2172,3572,4973,1049,291,132,268,517,792
15,16,1810,110,10,17,50,73,-78,-47,-15,6548,-692,947,2101,3500,4901,941,219,26,280,538,782
16,17,1922,110,11,459,1345,2130,-2196,-1312,-426,6477,-454,1425,2029,3429,4830,941,258,-13,256,497,723
17,18,2035,111,10,3278,7140,2922,-8309,-4447,-584,6405,29,1906,1957,3357,4758,1000,258,158,195,434,733
18,19,2147,110,15,5239,10563,429,-10734,-5410,-86,6333,507,1834,1886,3285,4686,980,179,263,122,350,673
19,20,2259,111,5,4353,7520,-5914,-5155,-1986,1183,6261,990,1762,1814,3213,4614,961,106,145,195,462,762
20,21,2372,111,10,4222,7076,-6841,-4340,-1486,1368,6189,1473,1690,1741,3141,4542,951,99,487,183,427,782
21,22,2484,110,12,4203,7012,-6976,-4221,-1413,1395,6118,1951,1618,1670,3069,4470,980,166,855,183,392,683
22,23,2598,112,11,4200,7002,-6997,-4203,-1402,1399,6045,2438,1546,1597,2997,4397,912,192,882,244,336,713
23,24,2712,111,11,4200,7000,-7000,-4200,-1400,1400,5973,2921,1474,1525,2924,4325,951,298,908,183,308,693
24,25,2824,110,13,4200,7000,-7000,-4200,-1400,1400,5901,3400,1402,1453,2853,4254,971,338,816,207,371,673
25,26,2937,111,11,4200,7000,-7000,-4200,-1400,1400,5829,3883,1330,1381,2781,4182,931,450,789,220,336,693
26,27,3053,111,13,4200,7000,-7000,-4200,-1400,1400,5757,4366,1258,1309,2709,4109,941,536,763,220,336,604
27,28,3164,110,13,4200,7000,-7000,-4200,-1400,1400,5685,4844,1186,1238,2637,4038,941,609,789,244,315,713
28,29,3277,111,10,4200,7000,-7000,-4200,-1400,1400,5613,5327,1114,1165,2565,3966,902,728,632,195,357,594
29,30,3391,111,9,4200,7000,-7000,-4200,-1400,1400,5541,5810,1042,1093,2493,3894,902,768,737,85,259,554
30,31,3503,110,11,4200,6999,-6999,-4200,-1400,1400,5470,6273,970,1022,2421,3822,824,907,579,110,301,693
31,32,3616,110,11,4103,6835,-6837,-4102,-1367,1368,5398,6685,899,950,2350,3751,794,927,632,146,140,653
32,33,3730,110,11,3755,6253,-6256,-3753,-1251,1252,5327,6630,827,879,2278,3679,941,993,526,85,245,594
33,34,3841,110,10,684,1139,-1139,-683,-228,228,5255,6558,756,809,2207,3608,843,967,526,61,301,574
34,35,3955,112,10,90,162,-144,-71,-55,18,5183,6485,683,745,2134,3535,833,1007,605,110,224,594
35,36,4067,110,9,-4,43,33,76,-96,-52,5111,6414,612,681,2063,3463,873,1013,579,134,245,545
36,37,4179,110,7,-15,26,59,83,-96,-57,5040,6342,542,627,1991,3392,775,993,539,110,217,525
37,38,4291,110,10,-39,48,133,189,-207,-125,4968,6271,477,563,1920,3320,824,967,355,146,245,446
