#Recorded data from Servotor32
#datetime: 21-11-2020_00h-26m-50s
#filename: wave_x_b_sensors_closed_horizontal_declined_loaded_21-11-2020_00h-26m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: declined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.113,0.111,0.017,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.466,0.379,1.779,3.179,4.579,5.979,1.039,0.517,-0.026,0.012,0.483,1.01,1.0,0.517,0.0,0.012,0.483,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.693,0.068,0.19,0.433,0.713,0.889,4.466,0.379,1.779,3.179,4.579,5.979,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.226,0.11,0.015,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.944,0.307,1.707,3.107,4.507,5.907,0.951,0.483,0.25,0.085,0.469,0.802,0.951,0.483,0.25,0.085,0.469,0.802,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.064,0.181,0.418,0.7,0.883,6.657,3.381,1.75,0.595,3.283,5.614,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.339,0.111,0.014,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.427,0.235,1.635,3.035,4.435,5.835,0.755,0.278,0.105,0.317,0.587,0.97,0.755,0.278,0.105,0.317,0.587,0.97,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.835,0.06,0.172,0.403,0.945,0.946,5.285,1.946,0.735,2.219,4.109,6.79,0.841,0.841,0.841,0.841,1.307,0.997
3,4,0.452,0.111,0.018,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.91,0.163,1.563,2.963,4.363,5.763,0.765,0.252,0.224,0.293,0.559,0.861,0.765,0.252,0.224,0.293,0.559,0.861,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.884,0.057,0.164,0.389,0.94,0.943,5.355,1.764,1.568,2.051,2.519,5.086,0.841,0.841,0.841,0.841,1.307,0.997
4,5,0.564,0.11,0.02,6.996,-6.999,-4.199,-1.399,1.401,4.2,6.386,0.091,1.491,2.891,4.291,5.692,0.853,0.291,0.105,0.39,0.608,0.95,0.853,0.291,0.105,0.39,0.608,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.919,0.054,0.156,0.375,0.935,0.939,5.971,2.037,0.735,2.73,2.74,5.612,0.841,0.841,0.841,0.841,1.307,0.997
5,6,0.678,0.111,0.014,6.971,-6.975,-4.185,-1.394,1.396,4.187,6.841,0.019,1.419,2.819,4.219,5.62,0.912,0.258,0.132,0.293,0.552,0.832,0.912,0.258,0.132,0.293,0.552,0.832,0.996,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.004,0.026,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.943,0.051,0.148,0.361,0.929,0.935,6.384,1.806,0.924,2.051,2.488,4.915,0.841,0.841,0.841,0.841,1.307,0.997
6,7,0.791,0.11,0.014,6.697,-6.701,-4.02,-1.339,1.341,4.022,7.195,-0.052,1.348,2.748,4.148,5.549,0.922,0.311,0.132,0.293,0.573,0.851,0.922,0.311,0.132,0.293,0.573,0.851,0.95,0.0,0.0,0.0,0.004,0.026,0.771,0.0,0.0,0.0,0.002,0.007,3.598,3.474,3.5,3.5,2.254,2.954,0.0,-0.052,0.0,0.0,0.0,0.0,7.195,7.0,7.0,7.0,4.507,5.907,0.95,0.05,0.141,0.347,0.922,0.93,6.454,2.177,0.924,2.051,2.583,5.027,0.818,0.835,0.841,0.841,1.307,0.997
7,8,0.903,0.11,0.012,5.615,-5.616,-3.369,-1.123,1.123,3.37,7.124,-0.124,1.276,2.676,4.076,5.477,0.961,0.331,0.092,0.317,0.622,0.832,0.961,0.331,0.092,0.317,0.622,0.832,0.771,0.0,0.0,0.0,0.002,0.007,0.002,0.0,0.0,0.0,0.0,0.0,3.598,3.438,3.5,3.5,2.254,2.954,0.0,-0.124,0.0,0.0,0.0,0.0,7.195,7.0,7.0,7.0,4.507,5.907,0.947,0.05,0.133,0.333,0.915,0.925,6.914,2.282,0.644,2.219,2.803,4.915,0.818,0.827,0.841,0.841,1.307,0.997
8,9,1.017,0.112,0.01,0.787,-0.787,-0.472,-0.157,0.157,0.472,7.052,-0.197,1.206,2.603,4.003,5.404,0.951,0.272,0.092,0.28,0.608,0.842,0.951,0.272,0.092,0.28,0.608,0.842,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,3.598,3.402,3.5,3.5,2.254,2.954,0.0,-0.197,0.0,0.0,0.0,0.0,7.195,7.0,7.0,7.0,4.507,5.907,0.944,0.05,0.127,0.32,0.908,0.92,6.842,1.814,0.644,1.96,2.74,4.974,0.818,0.818,0.841,0.841,1.307,0.997
9,10,1.13,0.11,0.009,0.125,-0.108,-0.05,-0.046,0.011,0.068,6.98,-0.268,1.16,2.532,3.932,5.333,0.951,0.238,0.079,0.366,0.629,0.683,0.951,0.238,0.079,0.366,0.629,0.683,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,3.598,3.366,3.5,3.5,2.254,2.954,0.0,-0.268,0.0,0.0,0.0,0.0,7.195,7.0,7.0,7.0,4.507,5.907,0.941,0.05,0.123,0.307,0.9,0.915,6.842,1.516,0.553,2.562,2.835,4.034,0.818,0.81,0.841,0.841,1.307,0.997
