#Recorded data from Servotor32
#datetime: 21-11-2020_00h-17m-52s
#filename: tetrapod_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-17m-52s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,1000,497,13,114,500,990
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,1029,510,26,125,514,1019
2,1,113,111,14,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,1048,544,51,68,500,961
3,2,227,111,18,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,933,396,423,284,541,476
4,3,339,110,21,6000,-6000,0,6000,0,-6000,4613,513,3513,4613,3513,513,740,235,667,591,520,379
5,4,452,110,14,5999,-5999,0,5999,0,-5999,5014,364,3364,5014,3364,364,779,188,654,727,588,282
6,5,566,110,24,5995,-5995,0,5995,0,-5995,5412,216,3216,5412,3216,216,817,255,705,818,507,175
7,6,678,110,21,5962,-5962,0,5962,0,-5962,5810,67,3067,5805,3067,67,817,268,667,852,568,272
8,7,793,112,13,5945,-5945,0,5945,0,-5945,6154,-84,2916,6191,2916,-84,923,242,590,886,527,0
9,8,907,111,17,5589,-5589,0,5589,0,-5589,6148,-234,2766,6244,2766,-234,942,161,513,920,507,184
10,9,1019,110,13,2446,-2446,0,2446,0,-2446,5999,-382,2618,6096,2618,-382,952,181,526,920,426,146
11,10,1133,111,12,357,-357,0,357,0,-357,5850,-531,2468,5946,2468,-517,942,221,500,920,432,117
12,11,1246,110,12,55,15,-70,55,-70,15,5701,-619,2319,5797,2319,-585,962,148,436,977,392,136
13,12,1358,110,12,8,653,-661,8,-661,653,5553,-249,2171,5649,2171,-194,923,107,410,943,378,68
14,13,1471,110,10,1,4985,-4986,1,-4986,4985,5404,152,2022,5500,2022,207,933,148,410,1000,318,87
15,14,1582,110,16,0,5844,-5844,0,-5844,5844,5256,554,1874,5352,1874,609,1029,94,462,898,264,-29
16,15,1694,110,7,0,5976,-5976,0,-5976,5976,5107,955,1725,5203,1725,1010,990,74,372,966,297,39
17,16,1808,111,12,0,5996,-5996,0,-5996,5996,4957,1361,1576,5053,1576,1415,933,128,449,1011,284,19
18,17,1920,110,14,0,5999,-5999,0,-5999,5999,4809,1762,1427,4905,1427,1817,933,148,462,932,135,165
19,18,2033,111,12,0,6000,-6000,0,-6000,6000,4659,2167,1277,4755,1277,2222,904,174,372,932,135,155
20,19,2146,110,17,0,6000,-6000,0,-6000,6000,4510,2569,1129,4607,1129,2624,894,262,487,955,209,252
21,20,2258,110,12,0,6000,-6000,0,-6000,6000,4362,2970,980,4458,980,3025,856,329,282,852,223,311
22,21,2373,112,13,0,6000,-6000,0,-6000,6000,4211,3379,829,4307,829,3434,837,436,308,852,47,398
