#Recorded data from Servotor32
#datetime: 21-11-2020_00h-17m-52s
#filename: tetrapod_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-17m-52s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,1.0,0.497,0.013,0.114,0.5,0.99,1.0,0.497,0.013,0.114,0.5,0.99,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,1.029,0.51,0.026,0.125,0.514,1.019,1.0,0.51,0.026,0.125,0.514,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,6.0,3.06,0.156,0.75,3.084,6.0,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.113,0.111,0.014,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,1.048,0.544,0.051,0.068,0.5,0.961,1.0,0.544,0.051,0.068,0.5,0.961,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.117,0.104,0.689,0.117,0.689,0.104,6.0,3.264,0.306,0.408,3.0,5.766,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.227,0.111,0.018,6.0,-6.0,0.0,6.0,0.0,-6.0,4.212,0.661,3.661,4.212,3.661,0.661,0.933,0.396,0.423,0.284,0.541,0.476,0.933,0.396,0.423,0.284,0.541,0.476,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.248,0.091,0.657,0.248,0.657,0.091,5.826,2.376,2.538,4.139,3.246,2.856,2.266,0.981,0.981,2.266,0.981,0.981
4,3,0.339,0.11,0.021,6.0,-6.0,0.0,6.0,0.0,-6.0,4.613,0.513,3.513,4.613,3.513,0.513,0.74,0.235,0.667,0.591,0.52,0.379,0.74,0.235,0.667,0.591,0.52,0.379,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.451,0.08,0.623,0.451,0.623,0.08,5.324,1.41,4.002,4.937,3.12,2.274,2.266,0.981,0.981,2.266,0.981,0.981
5,4,0.452,0.11,0.014,5.999,-5.999,0.0,5.999,0.0,-5.999,5.014,0.364,3.364,5.014,3.364,0.364,0.779,0.188,0.654,0.727,0.588,0.282,0.779,0.188,0.654,0.727,0.588,0.282,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.67,0.07,0.588,0.67,0.588,0.07,5.426,1.128,3.924,5.29,3.528,1.692,2.266,0.981,0.981,2.266,0.981,0.981
6,5,0.566,0.11,0.024,5.995,-5.995,0.0,5.995,0.0,-5.995,5.412,0.216,3.216,5.412,3.216,0.216,0.817,0.255,0.705,0.818,0.507,0.175,0.817,0.255,0.705,0.818,0.507,0.175,1.998,0.0,0.0,1.998,0.0,0.0,0.993,0.0,0.0,0.993,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.834,0.061,0.553,0.834,0.553,0.061,5.524,1.53,4.23,5.527,3.042,1.05,2.266,0.981,0.981,2.266,0.981,0.981
7,6,0.678,0.11,0.021,5.962,-5.962,0.0,5.962,0.0,-5.962,5.81,0.067,3.067,5.805,3.067,0.067,0.817,0.268,0.667,0.852,0.568,0.272,0.817,0.268,0.667,0.852,0.568,0.272,1.985,0.0,0.0,1.985,0.0,0.0,0.899,0.0,0.0,0.85,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.925,0.053,0.516,0.924,0.516,0.053,5.524,1.608,4.002,5.615,3.408,1.632,2.266,0.981,0.981,2.266,0.981,0.981
8,7,0.793,0.112,0.013,5.945,-5.945,0.0,5.945,0.0,-5.945,6.154,-0.084,2.916,6.191,2.916,-0.084,0.923,0.242,0.59,0.886,0.527,0.0,0.923,0.242,0.59,0.886,0.527,0.0,1.798,0.0,0.0,1.7,0.0,0.0,0.674,0.0,0.0,0.77,0.0,0.0,4.778,2.958,3.0,4.796,3.0,2.958,3.401,-0.084,0.0,3.401,0.0,-0.084,6.154,6.0,6.0,6.191,6.0,6.0,0.95,0.05,0.479,0.95,0.479,0.05,5.8,1.452,3.54,5.704,3.162,0.0,2.139,0.968,0.981,2.111,0.981,0.968
9,8,0.907,0.111,0.017,5.589,-5.589,0.0,5.589,0.0,-5.589,6.148,-0.234,2.766,6.244,2.766,-0.234,0.942,0.161,0.513,0.92,0.507,0.184,0.942,0.161,0.513,0.92,0.507,0.184,1.348,0.0,0.0,1.539,0.0,0.0,0.116,0.0,0.0,0.131,0.0,0.0,4.778,2.883,3.0,4.822,3.0,2.883,3.401,-0.234,0.0,3.401,0.0,-0.234,6.154,6.0,6.0,6.244,6.0,6.0,0.949,0.05,0.443,0.95,0.443,0.05,5.994,0.896,3.078,5.968,3.042,1.035,2.139,0.945,0.981,2.071,0.981,0.945
