#Recorded data from Servotor32
#datetime: 21-11-2020_00h-06m-47s
#filename: tripod_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-06m-47s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,1.0,0.493,-0.07,0.0,0.523,1.01,1.0,0.493,0.0,0.0,0.523,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,1.019,0.487,0.0,-0.038,0.49,1.02,1.0,0.487,0.0,0.0,0.49,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,5.1,2.484,0.0,0.0,2.499,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.113,0.111,0.014,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.213,1.258,3.213,1.258,3.213,1.258,1.028,0.48,-0.042,-0.051,0.503,0.98,1.0,0.48,0.0,0.0,0.503,0.98,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.113,0.184,0.113,0.184,0.113,0.184,5.1,2.448,0.0,0.0,2.565,4.998,2.653,1.155,2.653,1.155,2.653,1.155
3,2,0.226,0.11,0.016,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.543,1.038,3.543,1.038,3.543,1.038,0.981,0.453,0.437,-0.218,0.47,0.36,0.981,0.453,0.437,0.0,0.47,0.36,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.234,0.149,0.234,0.149,0.234,0.149,5.058,2.31,3.85,0.0,3.923,1.836,2.653,1.155,2.653,1.155,2.653,1.155
4,3,0.338,0.11,0.019,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.873,0.818,3.873,0.818,3.873,0.818,0.764,0.267,0.62,-0.026,0.669,0.26,0.764,0.267,0.62,0.0,0.669,0.26,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.423,0.119,0.423,0.119,0.423,0.119,4.576,1.362,4.256,0.0,4.365,1.326,2.653,1.155,2.653,1.155,2.653,1.155
5,4,0.453,0.112,0.014,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.207,0.594,4.207,0.594,4.207,0.594,0.84,0.2,0.831,0.0,0.709,0.11,0.84,0.2,0.831,0.0,0.709,0.11,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.64,0.095,0.64,0.095,0.64,0.095,4.745,1.02,4.725,0.0,4.454,0.561,2.653,1.155,2.653,1.155,2.653,1.155
6,5,0.567,0.111,0.024,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,0.811,0.16,0.944,-0.064,0.715,0.14,0.811,0.16,0.944,0.0,0.715,0.14,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.809,0.075,0.809,0.075,0.809,0.075,4.68,0.816,4.976,0.0,4.467,0.714,2.653,1.155,2.653,1.155,2.653,1.155
7,6,0.679,0.11,0.02,5.047,-5.047,5.047,-5.047,5.047,-5.047,4.852,0.152,4.766,0.152,4.855,0.152,0.84,0.193,0.93,-0.09,0.828,0.36,0.84,0.193,0.93,0.0,0.828,0.36,2.964,0.0,2.964,0.0,2.964,0.0,0.819,0.0,0.625,0.0,0.838,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.908,0.059,0.887,0.059,0.908,0.059,4.745,0.984,4.945,0.0,4.718,1.836,2.653,1.155,2.653,1.155,2.653,1.155
8,7,0.793,0.111,0.012,4.78,-4.78,4.78,-4.78,4.78,-4.78,5.104,-0.07,4.75,-0.07,5.095,-0.07,0.868,0.147,0.958,-0.077,0.874,0.35,0.868,0.147,0.958,0.0,0.874,0.35,2.458,0.0,1.876,0.0,2.514,0.0,0.466,0.0,0.243,0.0,0.45,0.0,3.992,2.515,3.823,2.515,3.99,2.515,2.88,-0.07,2.88,-0.07,2.88,-0.07,5.104,5.1,4.766,5.1,5.1,5.1,0.95,0.05,0.948,0.05,0.949,0.05,4.807,0.75,5.007,0.0,4.82,1.785,2.648,1.139,3.122,1.139,2.653,1.139
9,8,0.908,0.112,0.014,3.678,-3.678,3.678,-3.678,3.678,-3.678,4.881,-0.294,4.528,-0.294,4.873,-0.294,0.981,0.107,1.014,-0.064,0.96,0.02,0.981,0.107,1.0,0.0,0.96,0.02,1.399,0.0,0.73,0.0,1.349,0.0,0.001,0.0,0.004,0.0,0.001,0.0,3.992,2.403,3.823,2.403,3.988,2.403,2.88,-0.294,2.88,-0.294,2.88,-0.294,5.104,5.1,4.766,5.1,5.095,5.1,0.913,0.05,0.9,0.05,0.913,0.05,5.062,0.483,4.766,-0.07,5.011,0.033,2.648,1.092,3.122,1.092,2.659,1.092
10,9,1.019,0.11,0.012,0.575,-0.575,0.575,-0.575,0.575,-0.575,4.661,-0.512,4.308,-0.049,4.653,-0.406,0.915,0.16,0.986,-0.115,0.96,0.0,0.915,0.16,0.986,0.0,0.96,0.0,0.003,0.0,0.013,0.0,0.004,0.0,0.0,0.003,0.0,0.197,0.0,0.197,3.992,2.294,3.823,2.403,3.988,2.347,2.88,-0.512,2.88,-0.294,2.88,-0.406,5.104,5.1,4.766,5.1,5.095,5.1,0.855,0.05,0.82,0.064,0.854,0.05,4.915,0.569,4.74,-0.294,5.006,-0.294,2.648,1.049,3.122,1.092,2.659,1.07
