#Recorded data from Servotor32
#datetime: 21-11-2020_00h-09m-54s
#filename: tripod_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-09m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,112,110,13,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,1010,461,-75,60,500,935
1,2,224,110,16,5100,-5100,5100,-5100,5100,-5100,3540,1040,3540,1040,3540,1040,943,442,448,0,442,463
2,3,336,111,15,5100,-5100,5100,-5100,5100,-5100,3873,818,3873,818,3873,818,724,260,612,60,558,561
3,4,448,110,18,5098,-5098,5098,-5098,5098,-5098,4202,598,4202,598,4202,598,810,175,761,-12,742,211
4,5,560,110,20,5090,-5090,5090,-5090,5090,-5090,4525,378,4525,378,4525,378,800,221,821,36,867,463
5,6,675,112,15,5048,-5048,5048,-5048,5048,-5048,4838,154,4494,154,4860,154,867,195,1015,95,742,195
6,7,788,110,18,4087,-4087,4087,-4087,4087,-4087,4689,-66,4404,-66,4674,-66,876,214,955,-24,908,504
7,8,900,110,11,1242,-1242,1242,-1242,1242,-1242,4469,-286,4184,-279,4454,-286,933,240,925,-60,1067,317
8,9,1014,112,9,153,-153,153,-153,153,-153,4245,-497,3960,-15,4230,-504,1019,162,1060,-48,892,195
9,10,1128,111,9,-1291,1291,-1291,1291,-1291,1291,4023,-180,3738,318,4008,-187,962,195,821,-48,1067,195
10,11,1240,110,12,-4430,4430,-4430,4430,-4430,4430,3803,150,3518,648,3788,143,943,136,955,0,975,325
11,12,1352,110,11,-4997,4997,-4997,4997,-4997,4997,3583,480,3298,978,3568,473,943,123,925,0,933,293
12,13,1464,110,16,-5084,5084,-5084,5084,-5084,5084,3363,810,3078,1308,3348,803,952,78,1060,119,967,187
13,14,1576,111,5,-5098,5098,-5098,5098,-5098,5098,3141,1143,2856,1641,3126,1136,886,65,881,131,958,187
14,15,1689,111,13,-5100,5100,-5100,5100,-5100,5100,2919,1476,2634,1974,2904,1469,990,130,851,143,942,228
15,17,1914,110,13,-5100,5100,-5100,5100,-5100,5100,2479,2136,2194,2634,2464,2129,876,214,806,357,808,358
16,18,2028,111,17,-5100,5100,-5100,5100,-5100,5100,2257,2469,1972,2967,2242,2462,838,299,582,333,742,455
17,19,2140,110,11,-5100,5100,-5100,5100,-5100,5100,2037,2799,1752,3297,2022,2792,705,396,597,500,408,488
18,20,2255,112,13,-5100,5100,-5100,5100,-5100,5100,1813,3135,1528,3633,1798,3128,686,468,552,560,283,553
19,21,2369,111,11,-5100,5100,-5100,5100,-5100,5100,1591,3468,1306,3966,1576,3461,571,591,403,702,125,585
20,22,2481,110,13,-5099,5099,-5099,5099,-5099,5099,1371,3798,1086,4295,1356,3790,457,734,358,714,525,683
21,23,2594,110,12,-5098,5098,-5098,5098,-5098,5098,1151,4128,866,4625,1136,4120,571,682,254,726,125,772
22,24,2708,110,13,-5096,5096,-5096,5096,-5096,5096,931,4457,646,4954,916,4449,343,766,209,774,-92,715
23,25,2820,110,12,-5093,5093,-5093,5093,-5093,5093,711,4784,426,5211,696,4751,448,805,149,929,-75,894
24,26,2934,112,11,-4826,4826,-4826,4826,-4826,4826,487,5035,202,5480,472,5009,505,890,209,857,-150,886
25,27,3048,111,14,-4462,4462,-4462,4462,-4462,4462,265,5077,-20,5307,250,4974,324,890,149,905,-175,911
26,28,3160,110,12,-1979,1979,-1979,1979,-1979,1979,45,4857,-240,5087,30,4754,286,909,75,893,-100,862
27,29,3272,110,10,-304,304,-304,304,-304,304,-175,4637,-429,4867,358,4534,229,935,104,774,-283,927
28,30,3384,110,8,1468,-1468,1468,-1468,1468,-1468,138,4417,-99,4647,688,4314,190,909,15,917,-225,837
29,31,3496,111,7,4524,-4524,4524,-4524,4524,-4524,471,4195,234,4425,1021,4092,333,890,149,929,-233,943
30,32,3608,110,10,5011,-5011,5011,-5011,5011,-5011,801,3975,564,4205,1351,3872,267,922,30,964,-33,951
31,33,3720,110,11,5086,-5086,5086,-5086,5086,-5086,1131,3755,894,3985,1681,3652,124,916,-15,1036,0,870
32,34,3833,111,11,5098,-5098,5098,-5098,5098,-5098,1464,3533,1227,3763,2014,3430,105,929,45,1036,25,894
33,35,3948,111,17,5100,-5100,5100,-5100,5100,-5100,1797,3311,1560,3541,2347,3208,162,877,60,1048,117,870
34,36,4060,110,12,5100,-5100,5100,-5100,5100,-5100,2127,3091,1890,3321,2677,2988,162,974,194,988,192,821
35,37,4174,112,12,5100,-5100,5100,-5100,5100,-5100,2463,2867,2226,3097,3013,2764,286,942,299,798,350,748
36,38,4288,111,17,5100,-5100,5100,-5100,5100,-5100,2796,2645,2559,2875,3346,2542,381,792,373,869,467,707
37,39,4400,110,12,5100,-5100,5100,-5100,5100,-5100,3126,2425,2889,2655,3676,2322,495,883,433,798,592,740
38,40,4513,110,13,5100,-5100,5100,-5100,5100,-5100,3456,2205,3219,2435,4006,2102,610,773,687,738,675,748
39,41,4627,110,16,5100,-5100,5100,-5100,5100,-5100,3786,1985,3549,2215,4334,1882,657,805,657,726,800,593
40,42,4739,110,11,5096,-5096,5096,-5096,5096,-5096,4115,1765,3877,1995,4664,1662,800,630,896,714,775,593
41,43,4851,110,11,5089,-5089,5089,-5089,5089,-5089,4440,1545,4201,1775,4975,1442,867,688,925,619,908,504
42,44,4963,110,14,5022,-5022,5022,-5022,5022,-5022,4758,1325,4501,1555,5255,1222,886,591,985,476,917,504
43,45,5076,111,6,4845,-4845,4845,-4845,4845,-4845,4986,1103,4709,1333,5239,1000,943,526,1015,512,942,309
44,46,5190,111,11,3549,-3549,3549,-3549,3549,-3549,4767,881,4488,1111,5017,778,933,500,1000,417,983,374
45,47,5301,110,12,557,-557,557,-557,557,-557,4547,661,4268,891,4797,558,1000,539,1000,452,942,407
46,48,5414,111,10,81,-81,81,-81,81,-81,4325,439,4046,669,4575,337,981,571,1030,286,975,309
47,49,5529,111,10,8,-8,8,-8,8,-8,4103,217,3824,447,4353,117,914,552,970,357,975,293
48,50,5640,110,12,-4,4,-4,4,-4,4,3883,-3,3604,228,4133,-99,952,500,1045,262,858,268
49,51,5754,111,10,-15,15,-15,15,-15,15,3661,-225,3382,8,3911,-295,1029,526,1104,262,892,203
50,52,5867,110,9,-73,73,-73,73,-73,73,3441,-445,3162,-212,3691,-513,981,370,955,333,808,309
51,54,6091,110,9,-635,635,-635,635,-635,635,3001,-879,2722,-276,3251,-362,867,396,851,155,842,187
52,55,6203,110,15,-2009,2009,-2009,2009,-2009,2009,2781,-551,2502,49,3031,-32,810,279,791,250,783,114
53,56,6316,111,12,-4633,4633,-4633,4633,-4633,4633,2559,-218,2280,382,2809,301,638,344,642,131,833,73
54,57,6429,111,18,-5032,5032,-5032,5032,-5032,5032,2337,115,2058,715,2587,634,581,273,537,48,767,154
55,58,6541,110,13,-5090,5090,-5090,5090,-5090,5090,2117,445,1838,1045,2367,964,619,169,552,36,667,163
56,59,6655,112,11,-5099,5099,-5099,5099,-5099,5099,1893,781,1614,1381,2143,1300,619,78,627,131,308,244
57,60,6769,111,17,-5100,5100,-5100,5100,-5100,5100,1671,1114,1392,1714,1921,1633,552,78,463,155,333,268
58,62,6995,111,12,-5100,5100,-5100,5100,-5100,5100,1229,1777,950,2377,1479,2296,505,162,478,238,42,374
59,63,7108,110,15,-5100,5100,-5100,5100,-5100,5100,1009,2107,730,2707,1259,2626,514,286,388,226,342,455
60,64,7220,110,12,-5100,5100,-5100,5100,-5100,5100,789,2437,510,3037,1039,2956,343,377,194,369,100,480
61,65,7333,110,11,-5100,5100,-5100,5100,-5100,5100,569,2767,290,3367,819,3286,305,442,269,381,-33,553
62,66,7444,110,14,-5100,5100,-5100,5100,-5100,5100,349,3097,70,3697,599,3616,248,513,209,440,-142,528
63,67,7556,110,6,-5100,5100,-5100,5100,-5100,5100,129,3427,-150,4027,379,3946,267,591,239,571,-125,748
64,68,7668,110,10,-5099,5099,-5099,5099,-5099,5099,-91,3757,-370,4357,159,4275,210,701,119,679,142,797
65,69,7780,110,12,-5096,5096,-5096,5096,-5096,5096,-311,4087,-590,4686,-61,4600,152,740,104,726,-167,846
66,70,7893,110,10,-5083,5083,-5083,5083,-5083,5083,-531,4415,-810,5012,-281,4926,190,812,134,762,83,837
67,71,8004,110,11,-5072,5072,-5072,5072,-5072,5072,-751,4736,-1030,5337,-501,5250,286,864,194,774,-258,846
68,72,8116,110,7,-5042,5042,-5042,5042,-5042,5042,-971,5055,-1250,5552,-721,5546,333,864,239,881,158,870
69,73,8230,111,10,-4668,4668,-4668,4668,-4668,4668,-1193,5222,-1472,5636,-943,5431,152,903,15,845,208,902
70,74,8342,110,14,-2799,2799,-2799,2799,-2799,2799,-1413,5002,-1692,5416,-1163,5211,219,864,149,893,208,911
71,75,8455,111,4,-410,410,-410,410,-410,410,-1569,4780,-1374,5194,-830,4989,219,929,90,893,-183,854
72,76,8568,110,10,2946,-2946,2946,-2946,2946,-2946,-1239,4560,-1044,4974,-500,4769,219,909,179,881,-92,894
73,77,8680,110,12,4769,-4769,4769,-4769,4769,-4769,-909,4340,-714,4754,-170,4549,267,922,104,905,-25,878
74,78,8793,111,12,5052,-5052,5052,-5052,5052,-5052,-576,4118,-381,4532,163,4327,105,896,119,1048,-117,902
75,79,8907,110,17,5093,-5093,5093,-5093,5093,-5093,-246,3898,-51,4312,493,4107,86,890,45,1071,-75,870
76,80,9018,110,10,5099,-5099,5099,-5099,5099,-5099,84,3678,279,4092,823,3887,86,909,0,1071,-58,894
77,81,9130,110,11,5100,-5100,5100,-5100,5100,-5100,414,3458,609,3872,1153,3667,95,916,90,988,-17,878
