#Recorded data from Servotor32
#datetime: 21-11-2020_00h-21m-37s
#filename: wave_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-21m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,113,111,13,7000,-7000,-4200,-1400,1400,4200,4461,379,1779,3179,4579,5979,1000,483,-28,25,507,1019
1,2,227,111,18,6999,-7000,-4200,-1400,1400,4201,4944,307,1707,3107,4507,5907,856,397,56,259,613,932
2,3,339,110,20,6999,-7001,-4200,-1400,1401,4201,5423,236,1636,3036,4436,5836,779,232,139,383,580,981
3,4,452,111,13,6998,-7001,-4200,-1400,1401,4201,5905,164,1564,2964,4364,5764,740,258,42,407,587,981
4,5,567,111,18,6996,-6999,-4199,-1399,1401,4200,6386,91,1491,2891,4291,5692,798,298,83,358,607,1000
5,6,679,110,21,6972,-6976,-4185,-1394,1396,4187,6863,20,1420,2820,4220,5621,827,212,42,296,600,913
6,7,793,112,11,6980,-6981,-4188,-1396,1396,4189,7346,-53,1347,2747,4147,5548,856,272,0,370,620,922
7,8,906,110,11,6955,-6955,-4173,-1391,1391,4173,7477,-124,1276,2676,4076,5477,962,291,125,346,600,816
8,9,1018,110,12,3245,-3249,-1949,-649,651,1951,7405,-196,1204,2604,4004,5405,904,199,97,346,640,951
9,11,1242,110,8,220,353,668,-731,-414,-97,7262,-338,1648,2461,3861,5262,952,265,14,272,560,786
10,12,1354,110,7,1159,3423,5695,-5718,-3426,-1133,7191,140,2126,2390,3790,5191,933,245,42,321,587,738
11,13,1466,110,11,4917,10003,876,-10356,-5265,-174,7119,619,2055,2318,3718,5119,1019,179,208,198,473,835
12,14,1578,110,12,4311,7464,-5785,-5150,-1996,1157,7048,1097,1983,2247,3647,5048,971,152,111,358,573,874
13,15,1690,110,11,4217,7071,-6813,-4346,-1492,1363,6976,1576,1912,2175,3575,4976,990,86,444,321,533,816
14,16,1802,110,15,4203,7011,-6971,-4222,-1414,1394,6905,2054,1840,2104,3504,4905,1067,113,917,358,507,757
15,17,1914,110,6,4200,7002,-6996,-4203,-1402,1399,6833,2533,1769,2032,3432,4833,1067,139,889,444,487,777
16,18,2027,110,10,4200,7000,-6999,-4201,-1400,1400,6762,3011,1697,1961,3361,4762,1029,258,847,383,487,767
17,19,2138,110,11,4200,7000,-7000,-4200,-1400,1400,6690,3490,1626,1889,3289,4690,1029,298,792,407,500,786
18,20,2252,112,11,4200,7000,-7000,-4200,-1400,1400,6617,3977,1553,1816,3216,4617,1029,404,806,383,433,709
19,21,2366,111,10,4200,7000,-7000,-4200,-1400,1400,6545,4460,1481,1744,3144,4545,1058,523,750,370,500,680
20,22,2478,110,11,4200,7000,-7000,-4200,-1400,1400,6474,4939,1409,1673,3073,4474,1010,583,792,481,420,709
21,23,2592,111,10,4200,7000,-7000,-4200,-1400,1400,6402,5421,1337,1600,3000,4401,1019,755,764,346,427,670
22,24,2705,110,9,4200,6999,-6999,-4200,-1400,1400,6330,5900,1266,1529,2929,4330,1010,728,611,272,447,621
23,25,2817,110,11,4200,7000,-7000,-4200,-1400,1400,6259,6377,1194,1457,2857,4258,952,821,417,370,413,602
24,26,2929,110,10,4195,6992,-6992,-4195,-1398,1398,6187,6850,1123,1386,2786,4187,942,874,472,284,400,650
25,27,3041,110,11,4163,6938,-6938,-4163,-1388,1388,6116,7299,1051,1314,2714,4115,913,914,514,296,440,641
26,28,3153,110,4,4000,6667,-6667,-4000,-1333,1333,6044,7361,980,1243,2643,4044,1010,947,403,235,373,631
27,29,3267,111,10,1455,2425,-2425,-1455,-485,485,5972,7289,908,1171,2571,3972,952,960,667,346,367,641
28,30,3378,110,11,224,373,-373,-224,-75,75,5901,7217,836,1099,2499,3900,1029,934,694,358,340,612
29,31,3492,112,10,31,52,-51,-31,-10,10,5828,7144,764,1027,2427,3827,923,987,403,247,267,544
30,32,3606,110,9,5,11,-2,-9,-5,0,5756,7073,694,956,2355,3756,990,940,292,173,347,583
31,33,3718,110,12,2,15,25,-6,-25,-12,5685,7001,625,885,2284,3684,904,967,292,222,227,534
32,34,3831,110,10,4,18,32,-23,-20,-10,5613,6930,554,814,2212,3613,923,947,500,259,287,573
33,35,3945,110,10,2,7,12,-10,-8,-4,5542,6858,485,742,2141,3541,990,1007,319,309,313,447
34,36,4057,110,11,7,20,34,-33,-20,-7,5470,6787,418,671,2069,3470,885,967,333,198,300,476
35,37,4169,110,10,8,28,48,-40,-32,-12,5399,6715,350,600,1998,3398,971,980,375,235,307,515
36,38,4281,110,10,8,27,46,-42,-29,-10,5327,6644,284,542,1926,3327,913,921,347,99,293,447
37,39,4393,110,5,-17,69,154,82,-187,-102,5256,6572,222,471,1855,3255,971,907,361,235,227,456
38,40,4508,111,10,19,77,135,-95,-95,-39,5184,6500,163,399,1783,3183,971,967,347,198,187,369
39,41,4620,110,14,26,94,161,-145,-95,-41,5112,6429,125,328,1716,3112,933,967,278,173,127,388
40,42,4733,111,4,49,224,400,-352,-195,-127,5040,6357,140,258,1644,3040,933,927,306,111,220,398
41,43,4846,110,10,189,596,1003,-962,-607,-219,4968,6285,516,186,1572,2968,865,967,292,160,267,379
42,44,4958,110,12,993,2983,4973,-4966,-2985,-997,4897,6214,994,115,1501,2897,894,927,264,173,280,369
43,45,5072,111,11,1340,4022,6704,-6703,-4022,-1341,4825,6141,1477,43,1429,2825,894,927,222,210,187,320
44,46,5187,111,13,1391,4174,6957,-6957,-4174,-1391,4753,6069,1960,-30,1356,2752,894,987,375,148,80,350
