#Recorded data from Servotor32
#datetime: 21-11-2020_00h-21m-37s
#filename: wave_x_b_sensors_closed_horizontal_inclined_loaded_21-11-2020_00h-21m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: inclined
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.113,0.111,0.013,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.461,0.379,1.779,3.179,4.579,5.979,1.0,0.483,-0.028,0.025,0.507,1.019,1.0,0.483,0.0,0.025,0.507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.692,0.068,0.19,0.433,0.713,0.889,4.461,0.379,1.779,3.179,4.579,5.979,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.227,0.111,0.018,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.944,0.307,1.707,3.107,4.507,5.907,0.856,0.397,0.056,0.259,0.613,0.932,0.856,0.397,0.056,0.259,0.613,0.932,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.064,0.181,0.418,0.7,0.883,5.992,2.779,0.392,1.813,4.291,6.524,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.339,0.11,0.02,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.423,0.236,1.636,3.036,4.436,5.836,0.779,0.232,0.139,0.383,0.58,0.981,0.779,0.232,0.139,0.383,0.58,0.981,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.834,0.06,0.172,0.404,0.945,0.947,5.453,1.624,0.973,2.681,4.06,6.867,0.841,0.841,0.841,0.841,1.307,0.997
3,4,0.452,0.111,0.013,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.905,0.164,1.564,2.964,4.364,5.764,0.74,0.258,0.042,0.407,0.587,0.981,0.74,0.258,0.042,0.407,0.587,0.981,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.883,0.057,0.164,0.389,0.94,0.943,5.18,1.806,0.294,2.849,2.646,5.795,0.841,0.841,0.841,0.841,1.307,0.997
4,5,0.567,0.111,0.018,6.996,-6.999,-4.199,-1.399,1.401,4.2,6.386,0.091,1.491,2.891,4.291,5.692,0.798,0.298,0.083,0.358,0.607,1.0,0.798,0.298,0.083,0.358,0.607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.919,0.054,0.156,0.375,0.935,0.939,5.586,2.086,0.581,2.506,2.736,5.907,0.841,0.841,0.841,0.841,1.307,0.997
5,6,0.679,0.11,0.021,6.972,-6.976,-4.185,-1.394,1.396,4.187,6.863,0.02,1.42,2.82,4.22,5.621,0.827,0.212,0.042,0.296,0.6,0.913,0.827,0.212,0.042,0.296,0.6,0.913,0.996,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.001,0.002,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.944,0.051,0.148,0.361,0.929,0.935,5.789,1.484,0.294,2.072,2.704,5.393,0.841,0.841,0.841,0.841,1.307,0.997
6,7,0.793,0.112,0.011,6.98,-6.981,-4.188,-1.396,1.396,4.189,7.346,-0.053,1.347,2.747,4.147,5.548,0.856,0.272,0.0,0.37,0.62,0.922,0.856,0.272,0.0,0.37,0.62,0.922,0.997,0.0,0.0,0.0,0.001,0.002,0.993,0.0,0.0,0.0,0.001,0.002,3.673,3.474,3.5,3.5,2.254,2.954,0.0,-0.053,0.0,0.0,0.0,0.0,7.346,7.0,7.0,7.0,4.507,5.907,0.95,0.05,0.14,0.347,0.922,0.93,5.992,1.904,0.0,2.59,2.794,5.446,0.802,0.835,0.841,0.841,1.307,0.997
7,8,0.906,0.11,0.011,6.955,-6.955,-4.173,-1.391,1.391,4.173,7.477,-0.124,1.276,2.676,4.076,5.477,0.962,0.291,0.125,0.346,0.6,0.816,0.962,0.291,0.125,0.346,0.6,0.816,0.993,0.0,0.0,0.0,0.001,0.002,0.364,0.0,0.0,0.0,0.001,0.038,3.738,3.438,3.5,3.5,2.254,2.954,0.0,-0.124,0.0,0.0,0.0,0.0,7.477,7.0,7.0,7.0,4.507,5.907,0.95,0.05,0.133,0.333,0.915,0.925,7.067,1.999,0.875,2.422,2.704,4.82,0.788,0.827,0.841,0.841,1.307,0.997
8,9,1.018,0.11,0.012,3.245,-3.249,-1.949,-0.649,0.651,1.951,7.405,-0.196,1.204,2.604,4.004,5.405,0.904,0.199,0.097,0.346,0.64,0.951,0.904,0.199,0.097,0.346,0.64,0.951,0.364,0.0,0.0,0.0,0.001,0.038,0.0,0.0,0.0,0.0,0.0,0.0,3.738,3.402,3.5,3.5,2.254,2.954,0.0,-0.196,0.0,0.0,0.0,0.0,7.477,7.0,7.0,7.0,4.507,5.907,0.947,0.05,0.127,0.32,0.908,0.92,6.759,1.294,0.679,2.422,2.884,5.618,0.788,0.818,0.841,0.841,1.307,0.997
9,11,1.242,0.11,0.008,0.22,0.353,0.668,-0.731,-0.414,-0.097,7.262,-0.338,1.648,2.461,3.861,5.262,0.952,0.265,0.014,0.272,0.56,0.786,0.952,0.265,0.014,0.272,0.56,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.945,0.0,0.0,0.0,3.738,3.331,4.102,3.5,2.254,2.954,0.0,-0.338,1.204,0.0,0.0,0.0,7.477,7.0,7.0,7.0,4.507,5.907,0.941,0.05,0.076,0.294,0.891,0.909,7.118,1.711,0.098,1.904,2.524,4.643,0.788,0.803,1.016,0.841,1.307,0.997
