#Recorded data from Servotor32
#datetime: 20-11-2020_23h-15m-29s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-15m-29s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,-28,6,-12,-12,0,47
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,-33,6,0,41,0,52
2,1,114,111,14,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,-39,29,12,18,6,41
3,2,227,110,18,6000,-6000,0,6000,0,-6000,4208,663,3663,4208,3663,663,217,23,36,193,28,87
4,4,452,111,15,5999,-5999,0,5999,0,-5999,5014,364,3364,5014,3364,364,961,23,12,971,11,81
5,5,566,110,24,5995,-5995,0,5995,0,-5995,5412,216,3216,5412,3216,216,1028,29,30,1006,28,76
6,6,678,110,20,5909,-5822,-87,5909,-87,-5822,5816,80,3084,5820,3080,103,1006,23,30,1012,22,64
7,7,791,111,18,5881,-5880,-1,5881,-1,-5880,6246,-60,2944,6221,2964,-15,1044,17,18,994,62,58
8,8,903,110,23,5868,-5661,-207,5868,-207,-5661,6632,-193,2799,6626,2825,-122,972,29,6,1006,17,76
9,9,1015,110,15,5257,-5094,-163,5257,-163,-5094,6954,-316,2664,6979,2692,-238,856,46,24,912,28,58
10,10,1127,110,18,2636,-2549,-87,2636,-87,-2549,7004,-443,2522,7069,2577,-355,361,40,12,433,62,58
11,11,1239,110,19,783,-591,-191,783,-191,-591,6902,-572,2377,6975,2444,-465,83,34,6,99,28,70
12,12,1351,110,14,351,-113,-238,351,-238,-113,6796,-705,2225,6846,2311,-572,78,29,-6,35,28,76
13,13,1463,110,23,262,781,-1044,262,-1044,781,6693,-714,2103,6730,2169,-609,83,253,48,58,11,203
14,14,1574,110,15,326,1683,-2009,326,-2009,1683,6591,-664,1965,6613,2027,-540,83,362,18,58,11,395
15,15,1688,111,18,320,3972,-4292,320,-4292,3972,6506,-348,1828,6499,1905,-247,117,839,24,64,51,797
16,16,1800,110,21,337,5269,-5606,337,-5606,5269,6403,51,1683,6383,1769,144,83,994,6,58,22,983
17,17,1914,110,15,388,5566,-5954,388,-5954,5566,6279,458,1538,6292,1626,552,44,1011,6,105,11,1012
18,18,2028,111,17,363,5587,-5950,363,-5950,5587,6172,864,1392,6185,1492,967,78,1000,6,76,28,1017
19,19,2139,110,20,313,5649,-5962,313,-5962,5649,6060,1259,1256,6075,1350,1388,67,989,24,70,11,1035
20,20,2251,110,14,262,5614,-5876,262,-5876,5614,5949,1654,1118,5955,1211,1789,67,989,18,53,17,1000
21,21,2363,110,23,237,5699,-5935,237,-5935,5699,5849,2068,989,5839,1081,2207,89,1023,36,58,34,1029
22,22,2475,111,16,280,5606,-5885,280,-5885,5606,5736,2473,850,5721,937,2606,67,1000,18,58,11,988
23,23,2588,111,17,371,5509,-5880,371,-5880,5509,5651,2869,710,5604,803,3024,117,983,18,58,28,1023
24,24,2700,110,21,365,5337,-5702,365,-5702,5337,5585,3255,578,5478,676,3419,150,971,30,41,39,988
25,25,2813,111,15,228,5655,-5883,228,-5883,5655,5466,3669,442,5374,551,3837,56,1017,24,82,45,1023
26,26,2926,110,24,377,5780,-6157,377,-6157,5780,5375,4087,310,5270,415,4289,106,1029,30,82,22,1093
27,27,3038,110,19,215,5676,-5891,215,-5891,5676,5251,4482,175,5154,276,4691,44,989,24,58,17,1000
28,28,3152,111,17,279,5588,-5867,279,-5867,5588,5142,4884,35,5049,148,5106,72,994,18,82,39,1017
29,29,3263,110,23,125,5752,-5877,125,-5877,5752,5030,5292,-97,4923,24,5520,67,1011,30,41,45,1023
30,30,3375,111,16,164,5658,-5822,164,-5822,5658,4917,5697,-237,4812,-92,5935,67,1000,18,70,62,1017
31,31,3488,110,18,199,5760,-5960,199,-5960,5760,4796,6101,-382,4693,-225,6349,50,1006,6,53,28,1023
32,32,3599,110,20,199,5221,-5421,199,-5421,5221,4690,6455,-514,4573,-355,6709,78,914,30,53,34,924
33,33,3712,111,14,141,3458,-3599,141,-3599,3458,4565,6682,-643,4453,-495,6821,44,678,36,53,17,471
34,34,3826,110,17,141,1402,-1543,141,-1543,1402,4462,6710,-749,4349,-622,6774,83,322,79,82,39,186
35,35,3938,110,19,-28,889,-861,-28,-861,889,4323,6692,-867,4223,-758,6674,17,236,55,41,22,87
36,36,4050,110,18,56,428,-483,56,-483,428,4175,6606,-1006,4110,-894,6561,0,115,18,64,22,64
37,37,4162,110,23,-599,432,167,-599,167,432,4038,6549,-1071,3994,-950,6444,22,167,152,58,169,58
38,38,4274,110,15,-2691,564,2127,-2691,2127,564,3908,6527,-853,3884,-845,6334,33,230,667,70,461,70
39,39,4388,111,17,-5074,346,4727,-5074,4727,346,3761,6448,-457,3776,-481,6216,6,126,982,76,927,58
40,40,4500,110,21,-5710,491,5219,-5710,5219,491,3619,6407,-53,3663,-73,6097,11,195,1006,64,1011,52
41,41,4613,110,16,-5867,425,5441,-5867,5441,425,3477,6347,356,3547,341,5974,11,161,1012,58,1022,47
42,42,4727,110,25,-5829,344,5485,-5829,5485,344,3343,6271,750,3434,767,5864,28,132,988,64,1045,70
43,43,4839,110,20,-5932,505,5427,-5932,5427,505,3201,6239,1172,3321,1181,5737,11,213,1036,64,1022,41
44,44,4954,112,15,-5931,572,5359,-5931,5359,572,3047,6214,1598,3205,1593,5603,-6,224,1030,64,1006,29
45,45,5068,111,18,-5652,258,5394,-5652,5394,258,2903,6137,2013,3114,1979,5482,11,132,1018,105,966,52
46,46,5179,110,21,-5784,229,5555,-5784,5555,229,2767,6061,2418,3004,2393,5352,22,132,1006,70,1022,35
47,47,5292,110,16,-5747,242,5505,-5747,5505,242,2643,5992,2816,2888,2807,5226,44,144,994,58,1022,41
48,48,5403,110,24,-5746,286,5459,-5746,5459,286,2512,5932,3231,2778,3205,5100,33,161,1024,70,994,41
49,49,5515,111,16,-5941,176,5765,-5941,5765,176,2384,5846,3666,2651,3620,4960,39,115,1055,41,1017,17
50,50,5628,111,18,-5888,217,5671,-5888,5671,217,2247,5769,4081,2536,4041,4826,22,132,1018,64,1028,29
51,51,5740,110,21,-5974,369,5605,-5974,5605,369,2104,5697,4516,2423,4448,4716,11,138,1061,64,1011,70
52,52,5852,110,15,-5668,550,5118,-5668,5118,550,1953,5665,4908,2333,4844,4612,-6,213,982,105,989,81
53,53,5966,110,24,-5716,539,5177,-5716,5177,539,1826,5640,5313,2223,5251,4499,39,224,1006,70,1011,64
54,54,6078,110,19,-5861,577,5284,-5861,5284,577,1674,5608,5697,2097,5668,4360,-6,213,970,41,1028,17
55,55,6192,110,18,-5131,104,5027,-5131,5027,104,1547,5510,6016,1990,6033,4228,39,92,848,76,933,29
56,56,6303,110,16,-4072,294,3778,-4072,3778,294,1414,5447,6230,1877,6283,4105,28,155,661,64,725,47
57,57,6415,111,15,-2129,440,1689,-2129,1689,440,1273,5406,6249,1756,6336,3971,17,195,303,53,365,29
58,58,6527,110,18,-669,286,382,-669,382,286,1131,5321,6150,1630,6240,3835,11,115,91,41,96,23
59,59,6639,110,20,-328,494,-166,-328,-166,494,979,5289,6055,1517,6119,3700,-6,213,97,64,51,23
60,60,6754,112,15,-380,260,120,-380,120,260,828,5199,5965,1396,6009,3558,0,109,109,53,73,17
61,61,6869,111,25,-437,334,103,-437,103,334,690,5123,5892,1275,5906,3441,22,132,139,53,84,58
62,62,6981,110,22,-378,155,223,-378,223,155,566,5047,5837,1168,5797,3308,44,132,170,76,73,29
63,63,7094,111,15,-239,463,-225,-239,-225,463,420,5009,5735,1048,5672,3174,6,201,85,53,45,29
64,64,7207,110,19,-246,625,-380,-246,-380,625,271,4974,5629,928,5555,3061,0,207,79,53,56,64
65,65,7319,110,20,-204,429,-225,-204,-225,429,126,4926,5538,834,5443,2941,6,184,103,99,67,52
66,66,7431,110,14,-345,358,-13,-345,-13,358,-20,4838,5442,708,5335,2822,6,109,97,41,73,52
67,67,7543,110,16,-209,259,-50,-209,-50,259,-156,4762,5351,595,5211,2692,22,132,103,64,45,35
68,68,7655,111,15,-220,291,-71,-220,-71,291,-287,4673,5261,468,5083,2578,33,109,109,41,39,64
69,69,7768,110,18,41,-116,74,41,74,-116,-341,4581,5183,342,4966,2455,172,103,127,41,56,47
70,70,7879,110,20,718,-311,-407,718,-407,-311,-309,4550,5071,229,4842,2342,328,213,67,64,45,64
71,71,7992,110,14,1617,-1148,-468,1617,-468,-1148,-122,4502,4956,129,4718,2238,611,184,61,88,45,81
72,72,8103,110,23,2817,-2805,-12,2817,-12,-2805,240,4414,4894,138,4594,2128,928,109,158,287,45,70
73,73,8215,111,15,4678,-4594,-84,4678,-84,-4594,648,4318,4784,416,4466,2004,1006,98,73,772,39,47
74,74,8328,110,18,5481,-5298,-183,5481,-183,-5298,1056,4230,4673,799,4336,1887,1011,109,67,965,34,58
75,75,8439,110,20,5607,-5220,-387,5607,-387,-5220,1454,4195,4567,1206,4216,1774,994,207,79,1012,51,64
76,76,8552,110,14,5567,-5425,-142,5567,-142,-5425,1856,4107,4459,1595,4095,1651,1000,109,73,977,51,47
77,77,8663,110,23,5590,-5558,-32,5590,-32,-5558,2266,4012,4354,1997,3987,1535,1017,98,79,1000,73,58
78,78,8775,110,15,5721,-5665,-56,5721,-56,-5665,2686,3914,4255,2408,3863,1421,1033,92,91,1018,45,64
79,79,8888,111,18,5702,-5447,-255,5702,-255,-5447,3095,3815,4142,2813,3735,1333,1006,92,67,1000,39,110
80,80,9000,110,21,5606,-5474,-132,5606,-132,-5474,3502,3727,4054,3218,3611,1229,1011,109,109,1006,45,81
81,81,9113,111,14,5656,-5481,-174,5656,-174,-5481,3901,3644,3948,3629,3480,1108,989,121,79,1012,34,52
82,82,9226,110,24,5693,-5524,-168,5693,-168,-5524,4306,3556,3836,4034,3356,992,1006,109,67,1006,45,58
