#Recorded data from Servotor32
#datetime: 20-11-2020_23h-15m-29s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-15m-29s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,-0.028,0.006,-0.012,-0.012,0.0,0.047,0.0,0.006,0.0,0.0,0.0,0.047,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,-0.033,0.006,0.0,0.041,0.0,0.052,0.0,0.006,0.0,0.041,0.0,0.052,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.114,0.111,0.014,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,-0.039,0.029,0.012,0.018,0.006,0.041,0.0,0.029,0.012,0.018,0.006,0.041,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.117,0.104,0.689,0.117,0.689,0.104,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.227,0.11,0.018,6.0,-6.0,0.0,6.0,0.0,-6.0,4.208,0.663,3.663,4.208,3.663,0.663,0.217,0.023,0.036,0.193,0.028,0.087,0.217,0.023,0.036,0.193,0.028,0.087,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.247,0.092,0.657,0.247,0.657,0.092,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
4,4,0.452,0.111,0.015,5.999,-5.999,0.0,5.999,0.0,-5.999,5.014,0.364,3.364,5.014,3.364,0.364,0.961,0.023,0.012,0.971,0.011,0.081,0.961,0.023,0.012,0.971,0.011,0.081,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.67,0.07,0.588,0.67,0.588,0.07,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
5,5,0.566,0.11,0.024,5.995,-5.995,0.0,5.995,0.0,-5.995,5.412,0.216,3.216,5.412,3.216,0.216,1.028,0.029,0.03,1.006,0.028,0.076,1.0,0.029,0.03,1.0,0.028,0.076,2.0,0.0,0.0,2.0,0.0,0.0,0.993,0.0,0.0,0.993,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.834,0.061,0.553,0.834,0.553,0.061,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
6,6,0.678,0.11,0.02,5.909,-5.822,-0.087,5.909,-0.087,-5.822,5.816,0.08,3.084,5.82,3.08,0.103,1.006,0.023,0.03,1.012,0.022,0.064,1.0,0.023,0.03,1.0,0.022,0.064,2.0,0.046,0.06,2.0,0.044,0.128,0.923,0.0,0.0,0.923,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.926,0.054,0.521,0.927,0.52,0.055,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
7,7,0.791,0.111,0.018,5.881,-5.88,-0.001,5.881,-0.001,-5.88,6.246,-0.06,2.944,6.221,2.964,-0.015,1.044,0.017,0.018,0.994,0.062,0.058,1.0,0.017,0.018,0.994,0.062,0.058,2.0,0.034,0.036,1.988,0.124,0.116,0.581,0.0,0.0,0.576,0.0,0.0,4.824,2.97,3.0,4.811,3.0,2.992,3.401,-0.06,0.0,3.401,0.0,-0.015,6.246,6.0,6.0,6.221,6.0,6.0,0.95,0.05,0.486,0.95,0.491,0.05,3.0,1.11,4.11,3.0,4.11,1.11,2.07,0.972,0.981,2.088,0.981,0.979
8,8,0.903,0.11,0.023,5.868,-5.661,-0.207,5.868,-0.207,-5.661,6.632,-0.193,2.799,6.626,2.825,-0.122,0.972,0.029,0.006,1.006,0.017,0.076,0.972,0.029,0.006,1.0,0.017,0.076,1.944,0.058,0.012,2.0,0.034,0.152,0.131,0.0,0.0,0.146,0.0,0.0,5.017,2.904,3.0,5.014,3.0,2.939,3.401,-0.193,0.0,3.401,0.0,-0.122,6.632,6.0,6.0,6.626,6.0,6.0,0.95,0.05,0.451,0.95,0.457,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.823,0.951,0.981,1.826,0.981,0.962
9,9,1.015,0.11,0.015,5.257,-5.094,-0.163,5.257,-0.163,-5.094,6.954,-0.316,2.664,6.979,2.692,-0.238,0.856,0.046,0.024,0.912,0.028,0.058,0.856,0.046,0.024,0.912,0.028,0.058,1.712,0.092,0.048,1.824,0.056,0.116,0.001,0.0,0.0,0.001,0.0,0.0,5.178,2.842,3.0,5.19,3.0,2.881,3.401,-0.316,0.0,3.401,0.0,-0.238,6.954,6.0,6.0,6.979,6.0,6.0,0.95,0.05,0.418,0.95,0.425,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.657,0.932,0.981,1.646,0.981,0.944
