#Recorded data from Servotor32
#datetime: 20-11-2020_23h-13m-07s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-13m-07s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,113,110,14,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,32,6,12,51,23,30
1,2,229,112,17,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,257,53,268,63,241,77
2,3,340,110,20,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,652,0,762,86,672,71
3,4,453,111,14,5098,-5098,5098,-5098,5098,-5098,4207,594,4207,594,4207,594,963,6,988,91,954,47
4,5,569,111,24,5090,-5090,5090,-5090,5090,-5090,4534,372,4534,372,4534,372,1011,18,1012,97,1006,41
5,6,680,110,20,5089,-5089,5089,-5089,5089,-5089,4879,142,4871,190,4873,159,1027,-18,1012,69,1017,12
6,7,793,110,14,4879,-4879,4879,-4879,4879,-4879,5214,-65,5190,17,5200,-45,1011,24,982,86,994,30
7,9,1018,110,18,4344,-4344,4344,-4344,4344,-4344,5786,-521,5787,-329,5832,-433,840,-24,860,80,897,53
8,10,1133,111,13,2469,-2469,2469,-2469,2469,-2469,5876,-743,5798,-491,5849,-632,561,0,421,109,431,41
9,11,1244,110,16,676,-676,676,-676,676,-676,5747,-973,5652,-638,5698,-794,166,-18,134,131,126,107
10,12,1356,111,15,318,-318,318,-318,318,-318,5614,-1195,5461,-803,5531,-983,160,0,55,103,98,59
11,13,1469,111,18,-423,423,-423,423,-423,423,5478,-1221,5269,-898,5404,-1136,155,353,55,229,172,124
12,14,1581,110,21,-2087,2087,-2087,2087,-2087,2087,5370,-1085,5072,-836,5282,-988,203,647,43,514,178,669
13,15,1695,112,13,-4013,4013,-4013,4013,-4013,4013,5233,-769,4869,-554,5113,-672,155,965,37,903,98,964
14,16,1809,111,18,-4405,4405,-4405,4405,-4405,4405,5067,-449,4677,-224,4993,-339,102,976,55,994,184,1000
15,17,1921,110,21,-4550,4550,-4550,4550,-4550,4550,4927,-115,4478,103,4830,-22,144,1006,37,994,103,976
16,18,2035,111,15,-4812,4812,-4812,4812,-4812,4812,4755,260,4276,448,4669,308,91,1076,37,1023,109,994
17,19,2149,111,17,-4755,4755,-4755,4755,-4755,4755,4583,593,4081,791,4495,641,91,1000,49,1017,86,1000
18,20,2262,110,21,-4657,4657,-4657,4657,-4657,4657,4422,920,3881,1127,4328,951,107,994,37,1011,98,964
19,21,2376,111,15,-4684,4684,-4684,4684,-4684,4684,4257,1249,3676,1473,4164,1271,102,994,30,1023,103,976
20,22,2489,111,17,-4627,4627,-4627,4627,-4627,4627,4085,1586,3484,1815,4025,1598,91,1006,55,1017,149,988
21,23,2601,110,21,-4658,4658,-4658,4658,-4658,4658,3909,1919,3305,2145,3861,1924,80,1006,73,1000,103,994
22,24,2714,110,15,-4674,4674,-4674,4674,-4674,4674,3727,2249,3098,2475,3727,2254,70,1000,24,1000,155,1000
23,25,2827,110,25,-4800,4800,-4800,4800,-4800,4800,3549,2582,2898,2821,3561,2591,75,1006,37,1029,98,1012
24,26,2939,110,20,-4843,4843,-4843,4843,-4843,4843,3355,2922,2705,3176,3442,2960,48,1018,49,1046,184,1071
25,27,3051,110,19,-4881,4881,-4881,4881,-4881,4881,3165,3275,2522,3519,3269,3300,53,1041,67,1023,86,1018
26,28,3163,110,22,-4969,4969,-4969,4969,-4969,4969,2962,3637,2322,3868,3097,3626,32,1059,37,1034,86,994
27,29,3275,110,15,-4947,4947,-4947,4947,-4947,4947,2745,3983,2129,4204,2949,3986,5,1029,49,1011,132,1053
28,30,3390,111,18,-5047,5047,-5047,5047,-5047,5047,2526,4362,1924,4547,2801,4345,5,1082,30,1017,132,1047
29,31,3502,110,21,-4739,4739,-4739,4739,-4739,4739,2312,4698,1744,4873,2663,4665,11,1012,73,994,149,982
30,32,3615,110,15,-4919,4919,-4919,4919,-4919,4919,2095,5035,1541,5203,2478,4995,5,1012,30,1000,63,1000
31,33,3729,111,18,-4559,4559,-4559,4559,-4559,4559,1882,5338,1346,5467,2281,5292,16,947,49,874,46,935
32,34,3841,110,20,-3854,3854,-3854,3854,-3854,3854,1671,5565,1156,5621,2093,5528,16,812,55,680,57,828
33,35,3955,112,14,-3487,3487,-3487,3487,-3487,3487,1447,5779,966,5720,1907,5744,0,782,61,577,69,787
34,36,4070,112,18,-1302,1302,-1302,1302,-1302,1302,1223,5680,783,5611,1722,5673,0,224,73,206,69,272
35,37,4182,110,22,-776,776,-776,776,-776,776,982,5518,597,5520,1521,5518,-37,106,61,234,34,118
36,38,4295,111,14,-372,372,-372,372,-372,372,748,5355,429,5412,1337,5302,-21,106,98,206,69,12
37,39,4408,110,18,-299,299,-299,299,-299,299,528,5190,283,5289,1142,5122,0,100,134,177,46,71
38,40,4520,110,20,-352,352,-352,352,-352,352,299,5022,126,5192,951,4928,-16,94,116,223,52,47
39,41,4633,110,14,-357,357,-357,357,-357,357,73,4847,-57,5073,756,4734,-11,82,67,183,46,47
