#Recorded data from Servotor32
#datetime: 20-11-2020_23h-13m-07s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-13m-07s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.113,0.11,0.014,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.21,1.26,3.21,1.26,3.21,1.26,0.032,0.006,0.012,0.051,0.023,0.03,0.032,0.006,0.012,0.051,0.023,0.03,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.682,0.184,0.682,0.184,0.682,0.184,3.21,1.26,3.21,1.26,3.21,1.26,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.229,0.112,0.017,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,0.257,0.053,0.268,0.063,0.241,0.077,0.257,0.053,0.268,0.063,0.241,0.077,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.76,0.148,0.76,0.148,0.76,0.148,3.21,1.26,3.21,1.26,3.21,1.26,1.155,1.155,1.155,1.155,1.155,1.155
2,3,0.34,0.11,0.02,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.652,0.0,0.762,0.086,0.672,0.071,0.652,0.0,0.762,0.086,0.672,0.071,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.155,0.119,0.155,0.119,0.155,0.119,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
3,4,0.453,0.111,0.014,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.207,0.594,4.207,0.594,4.207,0.594,0.963,0.006,0.988,0.091,0.954,0.047,0.963,0.006,0.988,0.091,0.954,0.047,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.392,0.095,0.392,0.095,0.392,0.095,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
4,5,0.569,0.111,0.024,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,1.011,0.018,1.012,0.097,1.006,0.041,1.0,0.018,1.0,0.097,1.0,0.041,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.69,0.075,0.69,0.075,0.69,0.075,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
5,6,0.68,0.11,0.02,5.089,-5.089,5.089,-5.089,5.089,-5.089,4.879,0.142,4.871,0.19,4.873,0.159,1.027,-0.018,1.012,0.069,1.017,0.012,1.0,0.0,1.0,0.069,1.0,0.012,3.0,0.0,3.0,0.207,3.0,0.036,0.941,0.0,0.941,0.0,0.941,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.892,0.058,0.889,0.062,0.889,0.059,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
6,7,0.793,0.11,0.014,4.879,-4.879,4.879,-4.879,4.879,-4.879,5.214,-0.065,5.19,0.017,5.2,-0.045,1.011,0.024,0.982,0.086,0.994,0.03,1.0,0.024,0.982,0.086,0.994,0.03,3.0,0.072,2.946,0.258,2.982,0.09,0.5,0.0,0.51,0.0,0.507,0.0,4.38,2.517,4.368,2.55,4.373,2.528,3.546,-0.065,3.546,0.0,3.546,-0.045,5.214,5.1,5.19,5.1,5.2,5.1,0.95,0.05,0.95,0.051,0.95,0.05,3.21,1.26,3.21,1.26,3.21,1.26,3.531,1.14,3.582,1.155,3.56,1.145
7,9,1.018,0.11,0.018,4.344,-4.344,4.344,-4.344,4.344,-4.344,5.786,-0.521,5.787,-0.329,5.832,-0.433,0.84,-0.024,0.86,0.08,0.897,0.053,0.84,0.0,0.86,0.08,0.897,0.053,2.52,0.0,2.58,0.24,2.691,0.159,0.013,0.0,0.014,0.0,0.014,0.0,4.666,2.29,4.666,2.386,4.689,2.334,3.546,-0.521,3.546,-0.329,3.546,-0.433,5.786,5.1,5.787,5.1,5.832,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.21,1.26,3.21,1.26,3.21,1.26,2.629,1.048,2.628,1.085,2.576,1.064
8,10,1.133,0.111,0.013,2.469,-2.469,2.469,-2.469,2.469,-2.469,5.876,-0.743,5.798,-0.491,5.849,-0.632,0.561,0.0,0.421,0.109,0.431,0.041,0.561,0.0,0.421,0.109,0.431,0.041,1.683,0.0,1.263,0.327,1.293,0.123,0.0,0.0,0.0,0.0,0.0,0.0,4.711,2.178,4.672,2.304,4.698,2.234,3.546,-0.743,3.546,-0.491,3.546,-0.632,5.876,5.1,5.798,5.1,5.849,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.21,1.26,3.21,1.26,3.21,1.26,2.527,1.008,2.615,1.053,2.557,1.027
9,11,1.244,0.11,0.016,0.676,-0.676,0.676,-0.676,0.676,-0.676,5.747,-0.973,5.652,-0.638,5.698,-0.794,0.166,-0.018,0.134,0.131,0.126,0.107,0.166,0.0,0.134,0.131,0.126,0.107,0.498,0.0,0.402,0.393,0.378,0.321,0.0,0.583,0.0,0.284,0.0,0.445,4.711,2.064,4.672,2.231,4.698,2.153,3.546,-0.973,3.546,-0.638,3.546,-0.794,5.876,5.1,5.798,5.1,5.849,5.1,0.932,0.05,0.928,0.05,0.928,0.05,3.21,1.26,3.21,1.26,3.21,1.26,2.527,0.97,2.615,1.026,2.557,0.999
10,12,1.356,0.111,0.015,0.318,-0.318,0.318,-0.318,0.318,-0.318,5.614,-1.195,5.461,-0.803,5.531,-0.983,0.16,0.0,0.055,0.103,0.098,0.059,0.16,0.0,0.055,0.103,0.098,0.059,0.48,0.0,0.165,0.309,0.294,0.177,0.0,0.964,0.0,0.832,0.0,0.915,4.711,1.952,4.672,2.148,4.698,2.058,3.546,-1.195,3.546,-0.803,3.546,-0.983,5.876,5.1,5.798,5.1,5.849,5.1,0.907,0.05,0.887,0.05,0.894,0.05,3.21,1.26,3.21,1.26,3.21,1.26,2.527,0.935,2.615,0.998,2.557,0.968
