#Recorded data from Servotor32
#datetime: 20-11-2020_23h-17m-42s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-17m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,22,-12,12,11,-6,-13
1,0,0,110,0,7000,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,27,0,0,34,23,0
2,1,113,110,19,7000,-7000,-4200,-1400,1400,4200,4457,380,1780,3180,4580,5980,11,0,12,29,0,19
3,2,225,110,20,6999,-7000,-4200,-1400,1400,4201,4935,308,1708,3108,4508,5909,231,35,24,46,0,44
4,3,338,111,13,6999,-7001,-4200,-1400,1401,4201,5418,236,1636,3036,4436,5837,575,-6,0,34,-17,-25
5,4,453,111,17,6998,-7001,-4200,-1400,1401,4201,5901,164,1564,2964,4364,5765,882,12,12,57,29,-38
6,5,565,110,19,6996,-6999,-4199,-1399,1401,4201,6377,93,1493,2893,4293,5693,1027,6,24,40,0,13
7,6,680,112,15,7025,-6837,-4227,-1185,1346,3878,6858,26,1410,2830,4230,5606,989,12,-18,17,17,-25
8,7,793,110,18,7139,-6797,-4006,-1237,976,3925,7346,-35,1352,2790,4161,5531,1016,18,24,57,6,-6
9,8,905,110,20,7149,-7042,-4138,-1237,1088,4180,7836,-107,1280,2737,4083,5460,1022,0,0,34,-11,0
10,9,1018,110,16,7016,-6787,-3890,-1162,990,3833,8306,-182,1212,2688,4012,5374,984,-6,6,40,0,-25
11,10,1129,110,16,4651,-4495,-2436,-403,316,2367,8568,-253,1140,2664,3940,5296,608,0,0,86,0,-13
12,11,1241,111,15,1748,-1502,-823,105,-312,784,8595,-315,1068,2636,3862,5224,177,18,0,80,-11,0
13,12,1353,110,18,860,-584,-367,310,-293,73,8570,-380,987,2596,3794,5138,86,12,-18,57,6,-25
14,13,1465,110,20,919,-681,-525,36,-90,341,8570,-439,915,2544,3725,5067,129,24,0,34,6,0
15,14,1579,111,14,1064,73,-786,-322,-364,335,8548,-456,850,2494,3650,4991,91,100,12,40,-6,-6
16,15,1692,110,17,1227,-283,-684,-382,-234,355,8545,-501,785,2432,3575,4906,124,47,12,17,-6,-25
17,16,1803,110,17,1822,1348,-1496,-1149,-962,437,8521,-427,740,2392,3491,4824,86,265,48,57,-23,-19
18,17,1916,110,14,3154,3701,-3841,-2285,-1557,828,8497,-152,681,2365,3407,4742,86,629,24,80,-23,-19
19,18,2028,110,22,4243,5514,-5786,-3571,-1708,1309,8475,265,630,2322,3329,4667,91,888,36,52,-11,-6
20,19,2141,110,15,4481,6080,-6495,-3783,-1687,1403,8451,714,568,2282,3258,4595,86,947,18,57,0,0
21,20,2253,110,18,4811,6566,-6837,-3840,-1919,1218,8421,1186,497,2248,3183,4503,75,988,0,69,-6,-38
22,21,2365,110,20,5126,6339,-6666,-4458,-1880,1539,8424,1648,468,2199,3108,4425,134,971,78,40,-6,-13
23,22,2479,112,13,4865,6427,-6961,-4112,-1871,1652,8402,2129,402,2158,3023,4352,91,988,12,57,-23,0
24,23,2593,111,17,5061,6593,-7023,-4181,-1908,1458,8386,2615,343,2118,2947,4266,102,1006,24,57,-6,-25
25,24,2705,110,20,4991,6964,-7041,-4307,-1966,1359,8356,3113,291,2078,2876,4184,75,1035,36,57,0,-19
26,25,2818,110,14,5203,6645,-6732,-4505,-1974,1362,8347,3582,256,2029,2801,4091,113,982,66,40,-6,-38
27,26,2929,110,16,4808,6950,-6653,-4153,-2152,1199,8311,4067,211,2005,2730,4013,65,1012,48,86,0,-13
28,27,3041,111,15,5374,6610,-6534,-4778,-2212,1541,8313,4536,195,1955,2641,3923,134,976,102,40,-29,-32
29,28,3154,110,18,5022,6739,-6665,-4496,-1923,1323,8289,5012,156,1905,2573,3838,86,994,60,40,6,-25
30,29,3265,110,20,5129,6882,-6524,-4339,-2381,1233,8268,5487,121,1881,2489,3745,91,994,66,86,-23,-38
31,30,3379,111,13,5144,7258,-6769,-4698,-2453,1518,8232,5989,89,1841,2391,3663,65,1035,72,57,-46,-19
32,31,3492,110,16,5577,6582,-6819,-4805,-2223,1687,8249,6468,67,1798,2307,3577,161,1000,90,52,-23,-25
33,32,3604,110,18,5113,6856,-6929,-4641,-2075,1676,8219,6953,22,1746,2217,3499,75,1012,48,34,-34,-13
34,33,3717,110,12,5045,6988,-6590,-4753,-2257,1565,8183,7425,-7,1693,2120,3413,65,988,78,34,-46,-25
35,34,3828,110,15,4699,6288,-6164,-4219,-1894,1290,8159,7852,-46,1644,2045,3328,86,906,60,40,-6,-25
36,35,3940,110,13,4612,5449,-5642,-3827,-1762,1170,8149,8220,-91,1591,1964,3229,113,800,48,34,-17,-51
37,36,4054,111,18,2411,2268,-2266,-1375,-1341,303,8125,8298,-150,1567,1883,3132,86,271,24,86,-17,-44
38,37,4166,110,13,1578,820,-918,-916,-1012,448,8109,8295,-188,1527,1792,3057,102,124,60,57,-34,-6
39,38,4279,111,13,1310,742,-569,-882,-927,326,8076,8285,-227,1477,1701,2974,70,112,60,40,-34,-19
40,39,4394,111,17,1606,796,-773,-948,-963,283,8064,8297,-263,1437,1619,2888,108,153,66,57,-17,-25
41,40,4505,110,19,1671,1102,-291,-1336,-1219,73,8042,8303,-262,1394,1538,2796,91,141,132,52,-17,-38
42,41,4619,112,13,1520,1291,101,-1331,-1441,-140,8003,8296,-257,1353,1449,2694,59,118,138,57,-29,-51
43,42,4733,111,17,1815,2314,407,-2621,-1910,-4,7960,8342,-170,1303,1361,2612,54,212,287,40,-29,-19
44,43,4845,110,12,2354,3340,3437,-4839,-3486,-805,7930,8332,137,1260,1274,2505,75,112,689,52,-29,-63
45,44,4958,110,13,2587,4326,5486,-6843,-4473,-1082,7903,8322,599,1211,1193,2416,81,112,970,40,-17,-32
46,45,5069,110,15,2599,4656,6014,-7503,-4775,-991,7876,8318,1091,1162,1109,2341,81,124,1024,40,-23,-6
47,46,5181,111,13,3051,5520,5767,-8070,-5078,-1189,7843,8367,1600,1112,1030,2248,70,218,1048,40,-11,-38
48,47,5294,111,18,2698,5184,5825,-7662,-5162,-883,7806,8389,2090,1078,932,2180,65,171,1012,69,-46,6
49,48,5406,110,13,2654,4909,6131,-7617,-4928,-1149,7767,8379,2575,1022,845,2087,59,112,1012,29,-29,-38
50,49,5520,112,13,2537,4855,6184,-7505,-4853,-1218,7728,8372,3069,972,763,2000,59,118,1012,40,-17,-25
51,50,5634,110,18,2512,4978,6223,-7472,-4839,-1402,7683,8369,3554,922,688,1908,48,124,1012,40,-6,-38
52,51,5745,110,19,2693,5095,6311,-7574,-5122,-1403,7644,8369,4049,883,604,1812,59,129,1030,57,-23,-44
53,52,5859,111,14,2545,4906,6178,-7415,-5017,-1198,7601,8362,4532,839,513,1726,54,118,1000,52,-34,-25
54,53,5972,110,17,2527,4706,6122,-7376,-4851,-1128,7568,8352,5010,793,428,1644,70,112,1000,46,-23,-19
55,54,6083,110,17,2388,4722,6358,-7180,-5096,-1193,7529,8335,5492,766,338,1565,59,100,1006,80,-34,-13
56,55,6197,110,13,2590,4807,6140,-7495,-4987,-1055,7502,8338,5984,726,254,1490,81,135,1024,57,-23,-6
57,56,6309,110,15,2584,5041,6455,-7488,-5284,-1308,7460,8331,6482,695,163,1402,54,118,1036,75,-34,-32
58,57,6421,111,15,2564,4931,6483,-7463,-5185,-1330,7418,8315,6978,655,72,1308,54,100,1024,57,-34,-38
59,58,6534,111,17,2166,4748,6316,-6689,-4817,-1724,7367,8298,7438,631,10,1215,38,100,958,86,17,-38
60,59,6646,110,13,1947,3406,4462,-5170,-3552,-1093,7328,8269,7735,581,-65,1123,59,76,671,40,-6,-38
61,60,6759,111,13,1394,2242,2467,-3014,-2515,-574,7279,8242,7869,548,-150,1040,43,82,371,69,-23,-19
62,61,6874,110,17,1109,1179,266,-1040,-1306,-207,7229,8226,7834,508,-234,948,38,100,66,57,-23,-38
63,62,6985,110,12,914,968,-8,-557,-1076,-241,7175,8206,7795,474,-312,859,32,94,60,69,-11,-32
64,63,7099,112,12,950,898,141,-750,-1086,-153,7123,8176,7773,430,-398,768,38,76,90,52,-23,-32
65,64,7212,110,17,1004,833,63,-921,-944,-36,7081,8153,7757,381,-475,686,54,88,102,40,-11,-19
66,65,7324,110,18,1046,503,193,-503,-928,-311,7048,8107,7725,344,-547,587,70,47,72,63,0,-51
67,66,7438,110,14,718,626,108,-486,-755,-210,6994,8071,7690,298,-618,505,32,65,66,46,0,-19
68,67,7549,110,16,567,681,317,88,-1108,-545,6955,8048,7661,309,-671,433,59,88,78,149,34,0
69,68,7660,110,14,-120,166,244,501,303,-1094,6905,8003,7609,269,-654,362,38,47,36,57,161,0
70,69,7773,110,19,-57,585,512,792,-694,-1138,6839,7964,7558,283,-688,283,11,59,36,155,69,-13
71,70,7885,110,19,-911,393,1424,3002,-1145,-2763,6800,7931,7506,442,-620,226,59,71,36,420,253,25
72,71,7998,110,13,-2483,689,3638,6409,-2542,-5712,6735,7872,7458,813,-458,161,11,24,42,805,425,13
73,72,8109,110,16,-2467,884,4902,7279,-4507,-6091,6684,7794,7442,1276,-355,100,38,-12,102,971,316,19
