#Recorded data from Servotor32
#datetime: 20-11-2020_23h-17m-42s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_20-11-2020_23h-17m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,0.022,-0.012,0.012,0.011,-0.006,-0.013,0.022,0.0,0.012,0.011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.11,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.979,0.451,1.851,3.251,4.651,6.052,0.027,0.0,0.0,0.034,0.023,0.0,0.027,0.0,0.0,0.034,0.023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.599,0.071,0.2,0.448,0.725,0.895,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.113,0.11,0.019,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.457,0.38,1.78,3.18,4.58,5.98,0.011,0.0,0.012,0.029,0.0,0.019,0.011,0.0,0.012,0.029,0.0,0.019,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.691,0.068,0.19,0.433,0.946,0.947,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
3,2,0.225,0.11,0.02,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.935,0.308,1.708,3.108,4.508,5.909,0.231,0.035,0.024,0.046,0.0,0.044,0.231,0.035,0.024,0.046,0.0,0.044,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.77,0.064,0.181,0.418,0.941,0.943,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
4,3,0.338,0.111,0.013,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.418,0.236,1.636,3.036,4.436,5.837,0.575,-0.006,0.0,0.034,-0.017,-0.025,0.575,0.0,0.0,0.034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.834,0.06,0.172,0.404,0.935,0.939,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
5,4,0.453,0.111,0.017,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.901,0.164,1.564,2.964,4.364,5.765,0.882,0.012,0.012,0.057,0.029,-0.038,0.882,0.012,0.012,0.057,0.029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.883,0.057,0.164,0.389,0.93,0.935,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
6,5,0.565,0.11,0.019,6.996,-6.999,-4.199,-1.399,1.401,4.201,6.377,0.093,1.493,2.893,4.293,5.693,1.027,0.006,0.024,0.04,0.0,0.013,1.0,0.006,0.024,0.04,0.0,0.013,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.918,0.054,0.156,0.375,0.924,0.931,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
7,6,0.68,0.112,0.015,7.025,-6.837,-4.227,-1.185,1.346,3.878,6.858,0.026,1.41,2.83,4.23,5.606,0.989,0.012,-0.018,0.017,0.017,-0.025,0.989,0.012,0.0,0.017,0.017,0.0,0.989,0.012,0.0,0.017,0.017,0.0,0.962,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.944,0.051,0.147,0.363,0.918,0.925,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.266,0.973
8,7,0.793,0.11,0.018,7.139,-6.797,-4.006,-1.237,0.976,3.925,7.346,-0.035,1.352,2.79,4.161,5.531,1.016,0.018,0.024,0.057,0.006,-0.006,1.0,0.018,0.024,0.057,0.006,0.0,1.0,0.018,0.024,0.057,0.006,0.0,0.803,0.0,0.0,0.0,0.0,0.0,3.673,3.482,3.5,3.5,2.326,3.026,0.0,-0.035,0.0,0.0,0.0,0.0,7.346,7.0,7.0,7.0,4.651,6.052,0.95,0.05,0.141,0.355,0.911,0.92,3.5,0.523,1.923,3.323,4.723,6.123,0.802,0.837,0.841,0.841,1.266,0.973
9,8,0.905,0.11,0.02,7.149,-7.042,-4.138,-1.237,1.088,4.18,7.836,-0.107,1.28,2.737,4.083,5.46,1.022,0.0,0.0,0.034,-0.011,0.0,1.0,0.0,0.0,0.034,0.0,0.0,1.0,0.0,0.0,0.034,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.001,3.918,3.446,3.5,3.5,2.326,3.026,0.0,-0.107,0.0,0.0,0.0,0.0,7.836,7.0,7.0,7.0,4.651,6.052,0.95,0.05,0.134,0.345,0.902,0.914,3.5,0.523,1.923,3.323,4.723,6.123,0.752,0.829,0.841,0.841,1.266,0.973
