#Recorded data from Servotor32
#datetime: 20-11-2020_23h-32m-42s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-32m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,43,-12,-12,-18,-6,46
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,-11,-12,-6,-24,-22,40
2,1,113,111,13,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,-5,-12,-6,-30,-17,46
3,2,225,110,16,6000,-6000,0,6000,0,-6000,4208,663,3663,4208,3663,663,217,53,42,186,34,98
4,3,337,111,16,6000,-6000,0,6000,0,-6000,4613,513,3513,4613,3513,513,647,29,12,635,-11,64
5,4,450,111,18,5999,-5999,0,5999,0,-5999,5018,363,3363,5018,3363,363,957,29,6,988,-6,69
6,5,563,110,22,5995,-5995,0,5995,0,-5995,5415,215,3215,5415,3215,215,1005,12,24,1036,11,81
7,6,676,111,15,5942,-5856,-86,5942,-86,-5856,5817,68,3085,5844,3077,113,995,6,36,1042,22,87
8,7,791,111,18,5920,-5776,-143,5920,-143,-5776,6210,-75,2948,6259,2927,-2,978,12,24,1018,0,64
9,8,903,110,22,5666,-5587,-78,5666,-78,-5587,6591,-217,2820,6644,2791,-112,962,12,36,970,22,69
10,9,1015,110,14,4895,-4666,-230,4895,-230,-4666,6867,-360,2681,6946,2636,-216,772,12,18,820,-11,81
11,10,1129,111,17,2435,-2169,-266,2435,-266,-2169,6907,-493,2555,7003,2487,-308,342,29,42,371,0,104
12,11,1241,110,20,965,-750,-215,965,-215,-750,6860,-635,2420,6894,2338,-412,185,12,24,72,0,81
13,12,1355,111,15,454,-351,-102,454,-102,-351,6765,-779,2290,6784,2195,-527,98,12,36,72,11,64
14,13,1469,111,17,349,-218,-131,349,-131,-218,6675,-902,2171,6684,2063,-628,109,47,55,90,34,87
15,14,1581,110,20,330,1149,-1478,330,-1478,1149,6589,-861,2049,6568,1924,-615,114,345,48,60,17,295
