#Recorded data from Servotor32
#datetime: 20-11-2020_23h-32m-42s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-32m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,0.043,-0.012,-0.012,-0.018,-0.006,0.046,0.043,0.0,0.0,0.0,0.0,0.046,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,-0.011,-0.012,-0.006,-0.024,-0.022,0.04,0.0,0.0,0.0,0.0,0.0,0.04,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.113,0.111,0.013,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,-0.005,-0.012,-0.006,-0.03,-0.017,0.046,0.0,0.0,0.0,0.0,0.0,0.046,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.117,0.104,0.689,0.117,0.689,0.104,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.225,0.11,0.016,6.0,-6.0,0.0,6.0,0.0,-6.0,4.208,0.663,3.663,4.208,3.663,0.663,0.217,0.053,0.042,0.186,0.034,0.098,0.217,0.053,0.042,0.186,0.034,0.098,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.247,0.092,0.657,0.247,0.657,0.092,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
4,3,0.337,0.111,0.016,6.0,-6.0,0.0,6.0,0.0,-6.0,4.613,0.513,3.513,4.613,3.513,0.513,0.647,0.029,0.012,0.635,-0.011,0.064,0.647,0.029,0.012,0.635,0.0,0.064,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.451,0.08,0.623,0.451,0.623,0.08,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
5,4,0.45,0.111,0.018,5.999,-5.999,0.0,5.999,0.0,-5.999,5.018,0.363,3.363,5.018,3.363,0.363,0.957,0.029,0.006,0.988,-0.006,0.069,0.957,0.029,0.006,0.988,0.0,0.069,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.672,0.07,0.588,0.672,0.588,0.07,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
6,5,0.563,0.11,0.022,5.995,-5.995,0.0,5.995,0.0,-5.995,5.415,0.215,3.215,5.415,3.215,0.215,1.005,0.012,0.024,1.036,0.011,0.081,1.0,0.012,0.024,1.0,0.011,0.081,1.998,0.0,0.0,1.998,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.835,0.061,0.553,0.835,0.553,0.061,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
7,6,0.676,0.111,0.015,5.942,-5.856,-0.086,5.942,-0.086,-5.856,5.817,0.068,3.085,5.844,3.077,0.113,0.995,0.006,0.036,1.042,0.022,0.087,0.995,0.006,0.036,1.0,0.022,0.087,1.99,0.012,0.072,2.0,0.044,0.174,0.933,0.0,0.0,0.933,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.926,0.053,0.521,0.93,0.519,0.056,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
8,7,0.791,0.111,0.018,5.92,-5.776,-0.143,5.92,-0.143,-5.776,6.21,-0.075,2.948,6.259,2.927,-0.002,0.978,0.012,0.024,1.018,0.0,0.064,0.978,0.012,0.024,1.0,0.0,0.064,1.956,0.024,0.048,2.0,0.0,0.128,0.626,0.0,0.0,0.594,0.0,0.0,4.806,2.962,3.0,4.83,3.0,2.999,3.401,-0.075,0.0,3.401,0.0,-0.002,6.21,6.0,6.0,6.259,6.0,6.0,0.95,0.05,0.487,0.95,0.482,0.05,3.0,1.11,4.11,3.0,4.11,1.11,2.096,0.969,0.981,2.06,0.981,0.981
9,8,0.903,0.11,0.022,5.666,-5.587,-0.078,5.666,-0.078,-5.587,6.591,-0.217,2.82,6.644,2.791,-0.112,0.962,0.012,0.036,0.97,0.022,0.069,0.962,0.012,0.036,0.97,0.022,0.069,1.924,0.024,0.072,1.94,0.044,0.138,0.062,0.0,0.0,0.049,0.0,0.0,4.996,2.892,3.0,5.022,3.0,2.944,3.401,-0.217,0.0,3.401,0.0,-0.112,6.591,6.0,6.0,6.644,6.0,6.0,0.95,0.05,0.456,0.95,0.449,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.846,0.947,0.981,1.816,0.981,0.963
