#Recorded data from Servotor32
#datetime: 20-11-2020_23h-28m-02s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-28m-02s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2,225,110,15,5100,-5100,5100,-5100,5100,-5100,3540,1040,3540,1040,3540,1040,172,36,29,53,179,61
1,3,338,110,18,5100,-5100,5100,-5100,5100,-5100,3870,820,3870,820,3870,820,597,18,429,65,402,39
2,4,450,110,19,5098,-5098,5098,-5098,5098,-5098,4199,600,4199,600,4199,600,978,30,847,106,916,72
3,5,565,112,15,5090,-5090,5090,-5090,5090,-5090,4528,376,4528,376,4528,376,1043,-12,1012,88,961,67
4,6,679,111,17,4850,-4850,4850,-4850,4850,-4850,4879,167,4855,226,4886,200,1032,24,988,129,1045,83
5,7,792,110,22,4819,-4819,4819,-4819,4819,-4819,5221,-46,5178,61,5228,29,1022,12,988,100,1022,89
6,8,905,110,15,4395,-4395,4395,-4395,4395,-4395,5509,-266,5450,-98,5506,-151,925,0,894,112,905,72
7,9,1019,111,18,3308,-3308,3308,-3308,3308,-3308,5663,-462,5594,-258,5690,-333,677,47,659,112,732,72
8,10,1130,110,19,1312,-1312,1312,-1312,1312,-1312,5582,-676,5503,-397,5624,-526,253,12,235,147,279,50
9,11,1243,111,13,646,-646,646,-646,646,-646,5438,-891,5350,-557,5532,-714,140,12,124,112,235,61
10,12,1359,111,17,204,-204,204,-204,204,-204,5282,-1106,5186,-681,5391,-877,118,12,106,176,145,106
11,13,1470,110,20,-366,366,-366,366,-366,366,5118,-1102,5080,-794,5300,-978,102,408,206,194,235,217
12,14,1584,112,14,-1634,1634,-1634,1634,-1634,1634,4990,-1094,4938,-702,5166,-875,172,414,147,565,162,583
13,15,1697,110,17,-3356,3356,-3356,3356,-3356,3356,4835,-927,4783,-407,5026,-600,118,704,118,935,145,900
14,16,1809,110,19,-4483,4483,-4483,4483,-4483,4483,4660,-564,4614,-58,4902,-264,81,1059,94,1035,173,1011
