#Recorded data from Servotor32
#datetime: 20-11-2020_23h-28m-02s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-28m-02s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,2,0.225,0.11,0.015,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.54,1.04,3.54,1.04,3.54,1.04,0.172,0.036,0.029,0.053,0.179,0.061,0.172,0.036,0.029,0.053,0.179,0.061,2.999,0.0,2.999,0.0,2.999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.758,0.149,0.758,0.149,0.758,0.149,3.54,1.04,3.54,1.04,3.54,1.04,1.155,1.155,1.155,1.155,1.155,1.155
1,3,0.338,0.11,0.018,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.87,0.82,3.87,0.82,3.87,0.82,0.597,0.018,0.429,0.065,0.402,0.039,0.597,0.018,0.429,0.065,0.402,0.039,2.999,0.0,2.999,0.0,2.999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.821,0.119,0.821,0.119,0.821,0.119,3.54,1.04,3.54,1.04,3.54,1.04,1.155,1.155,1.155,1.155,1.155,1.155
2,4,0.45,0.11,0.019,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.199,0.6,4.199,0.6,4.199,0.6,0.978,0.03,0.847,0.106,0.916,0.072,0.978,0.03,0.847,0.106,0.916,0.072,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.485,2.55,4.485,2.55,4.485,2.55,3.87,0.0,3.87,0.0,3.87,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.203,0.095,0.203,0.095,0.203,0.095,3.54,1.04,3.54,1.04,3.54,1.04,4.788,1.155,4.788,1.155,4.788,1.155
3,5,0.565,0.112,0.015,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.528,0.376,4.528,0.376,4.528,0.376,1.043,-0.012,1.012,0.088,0.961,0.067,1.0,0.0,1.0,0.088,0.961,0.067,2.994,0.0,2.994,0.0,2.994,0.0,0.989,0.0,0.989,0.0,0.989,0.0,4.485,2.55,4.485,2.55,4.485,2.55,3.87,0.0,3.87,0.0,3.87,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.551,0.075,0.551,0.075,0.551,0.075,3.54,1.04,3.54,1.04,3.54,1.04,4.788,1.155,4.788,1.155,4.788,1.155
4,6,0.679,0.111,0.017,4.85,-4.85,4.85,-4.85,4.85,-4.85,4.879,0.167,4.855,0.226,4.886,0.2,1.032,0.024,0.988,0.129,1.045,0.083,1.0,0.024,0.988,0.129,1.0,0.083,3.0,0.072,2.964,0.387,3.0,0.249,0.833,0.0,0.833,0.0,0.833,0.0,4.485,2.55,4.485,2.55,4.485,2.55,3.87,0.0,3.87,0.0,3.87,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.868,0.06,0.855,0.064,0.872,0.062,3.54,1.04,3.54,1.04,3.54,1.04,4.788,1.155,4.788,1.155,4.788,1.155
5,7,0.792,0.11,0.022,4.819,-4.819,4.819,-4.819,4.819,-4.819,5.221,-0.046,5.178,0.061,5.228,0.029,1.022,0.012,0.988,0.1,1.022,0.089,1.0,0.012,0.988,0.1,1.0,0.089,3.0,0.036,2.964,0.3,3.0,0.267,0.426,0.0,0.455,0.0,0.417,0.0,4.546,2.527,4.524,2.55,4.549,2.55,3.87,-0.046,3.87,0.0,3.87,0.0,5.221,5.1,5.178,5.1,5.228,5.1,0.95,0.05,0.95,0.053,0.95,0.052,3.54,1.04,3.54,1.04,3.54,1.04,4.359,1.144,4.502,1.155,4.336,1.155
6,8,0.905,0.11,0.015,4.395,-4.395,4.395,-4.395,4.395,-4.395,5.509,-0.266,5.45,-0.098,5.506,-0.151,0.925,0.0,0.894,0.112,0.905,0.072,0.925,0.0,0.894,0.112,0.905,0.072,2.775,0.0,2.682,0.336,2.715,0.216,0.016,0.0,0.02,0.0,0.015,0.0,4.69,2.417,4.66,2.501,4.688,2.474,3.87,-0.266,3.87,-0.098,3.87,-0.151,5.509,5.1,5.45,5.1,5.506,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.54,1.04,3.54,1.04,3.54,1.04,3.593,1.097,3.727,1.133,3.6,1.121
7,9,1.019,0.111,0.018,3.308,-3.308,3.308,-3.308,3.308,-3.308,5.663,-0.462,5.594,-0.258,5.69,-0.333,0.677,0.047,0.659,0.112,0.732,0.072,0.677,0.047,0.659,0.112,0.732,0.072,2.031,0.141,1.977,0.336,2.196,0.216,0.0,0.0,0.0,0.0,0.0,0.0,4.767,2.319,4.732,2.421,4.78,2.383,3.87,-0.462,3.87,-0.258,3.87,-0.333,5.663,5.1,5.594,5.1,5.69,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.54,1.04,3.54,1.04,3.54,1.04,3.284,1.059,3.416,1.099,3.236,1.084
8,10,1.13,0.11,0.019,1.312,-1.312,1.312,-1.312,1.312,-1.312,5.582,-0.676,5.503,-0.397,5.624,-0.526,0.253,0.012,0.235,0.147,0.279,0.05,0.253,0.012,0.235,0.147,0.279,0.05,0.759,0.036,0.705,0.441,0.837,0.15,0.0,0.014,0.0,0.005,0.0,0.007,4.767,2.212,4.732,2.351,4.78,2.287,3.87,-0.676,3.87,-0.397,3.87,-0.526,5.663,5.1,5.594,5.1,5.69,5.1,0.936,0.05,0.933,0.05,0.939,0.05,3.54,1.04,3.54,1.04,3.54,1.04,3.284,1.02,3.416,1.071,3.236,1.047
9,11,1.243,0.111,0.013,0.646,-0.646,0.646,-0.646,0.646,-0.646,5.438,-0.891,5.35,-0.557,5.532,-0.714,0.14,0.012,0.124,0.112,0.235,0.061,0.14,0.012,0.124,0.112,0.235,0.061,0.42,0.036,0.372,0.336,0.705,0.183,0.0,0.537,0.0,0.224,0.0,0.354,4.767,2.104,4.732,2.271,4.78,2.193,3.87,-0.891,3.87,-0.557,3.87,-0.714,5.663,5.1,5.594,5.1,5.69,5.1,0.901,0.05,0.892,0.05,0.919,0.05,3.54,1.04,3.54,1.04,3.54,1.04,3.284,0.983,3.416,1.041,3.236,1.013
