#Recorded data from Servotor32
#datetime: 20-11-2020_23h-37m-20s
#filename: wave_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-37m-20s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,0,-30,-18,-6,0,12
1,1,113,111,13,7000,-7000,-4200,-1400,1400,4200,4461,379,1779,3179,4579,5979,11,-30,-24,6,-6,12
2,2,227,110,17,6999,-7000,-4200,-1400,1400,4201,4940,308,1708,3108,4508,5908,247,-6,18,6,17,35
3,3,339,110,19,6999,-7001,-4200,-1400,1401,4201,5418,236,1636,3036,4436,5837,703,-24,-12,40,29,100
4,4,453,111,13,6998,-7001,-4200,-1400,1401,4201,5901,164,1564,2964,4364,5765,940,-24,-18,23,11,18
5,6,676,111,14,6701,-7435,-4206,-887,1508,4319,6875,14,1410,2846,4230,5647,1027,-12,-18,46,17,47
6,7,789,111,18,6636,-7160,-3902,-1152,1399,4179,7358,-65,1352,2790,4167,5595,1000,-12,24,29,17,35
7,8,900,110,19,6331,-6663,-4095,-1006,1299,4133,7800,-123,1270,2738,4096,5546,934,24,-18,35,0,41
8,9,1014,112,14,5589,-6149,-3637,-875,1346,3726,8192,-199,1187,2671,4026,5493,830,-6,-18,12,6,35
9,10,1127,110,17,2884,-3612,-1888,-208,726,2098,8347,-277,1112,2622,3961,5447,412,-12,-6,40,11,47
10,11,1238,110,18,610,-1257,-519,303,93,770,8321,-355,1031,2576,3883,5398,82,-12,-18,46,-11,41
11,12,1352,110,16,280,-903,-278,186,253,462,8304,-427,966,2520,3828,5353,99,0,12,29,29,47
12,13,1463,110,22,618,-1127,-232,39,184,518,8314,-508,908,2465,3765,5297,148,-18,24,29,17,29
13,14,1576,111,14,558,-718,-267,179,-60,308,8294,-580,832,2415,3693,5229,93,0,-6,40,0,6
14,15,1688,110,19,596,-445,-569,70,106,241,8274,-626,757,2360,3638,5164,93,48,-6,29,29,12
15,16,1800,110,19,1524,338,-1559,-811,-379,887,8284,-583,703,2313,3560,5111,148,208,30,46,-11,35
16,17,1913,110,13,2385,1887,-2334,-1856,-799,717,8279,-448,671,2258,3491,5033,121,375,73,29,6,-12
17,18,2024,110,16,3394,3759,-4122,-2755,-1254,977,8274,-156,634,2218,3426,4962,121,661,61,58,11,0
18,19,2136,111,14,4597,5982,-6416,-3982,-1754,1572,8253,310,578,2172,3341,4890,93,970,30,46,-23,0
19,20,2249,110,18,4730,6585,-6653,-4349,-1776,1462,8233,792,547,2129,3279,4825,93,1006,73,52,17,12
20,21,2360,110,19,4792,6625,-6908,-4268,-1810,1570,8207,1271,492,2083,3201,4753,82,1000,30,46,-11,0
21,22,2473,110,14,4714,6413,-6716,-4258,-1709,1556,8187,1733,448,2033,3130,4685,93,970,49,40,0,6
22,23,2588,111,17,4457,6540,-6780,-4174,-1772,1728,8155,2212,399,1993,3051,4636,71,994,43,58,-11,41
23,24,2700,110,19,4612,6564,-6729,-4218,-1785,1556,8128,2684,355,1951,2980,4571,82,988,49,52,0,12
24,25,2815,112,15,4822,6321,-6570,-4109,-1873,1409,8117,3148,309,1913,2907,4491,110,958,49,64,0,-12
25,26,2928,110,18,5225,6141,-6951,-4073,-1937,1594,8139,3627,261,1893,2839,4420,170,1000,43,92,6,0
26,27,3040,110,20,4957,6632,-6892,-4177,-2128,1608,8113,4105,206,1859,2748,4345,82,1000,30,69,-34,-6
27,28,3154,111,13,5354,6222,-6948,-4272,-1902,1546,8135,4585,165,1826,2683,4263,170,994,55,69,11,-18
28,29,3267,110,17,4941,6347,-6968,-4233,-1769,1681,8121,5057,110,1780,2605,4195,104,988,30,46,-11,6
29,30,3379,110,18,5321,5866,-7061,-4332,-1617,1823,8147,5515,58,1727,2530,4117,176,964,37,35,-6,-12
30,31,3494,112,14,4648,6359,-6997,-4152,-1538,1681,8123,6003,3,1680,2464,4061,88,1000,30,46,11,29
31,32,3607,110,17,4345,6325,-6790,-3967,-1490,1575,8091,6465,-55,1634,2399,4005,71,970,24,46,11,29
32,33,3719,110,18,4892,5924,-6971,-4142,-1504,1801,8104,6927,-107,1588,2330,3943,154,970,37,46,6,18
33,34,3831,110,12,4805,6090,-6406,-4323,-1640,1475,8093,7366,-138,1533,2262,3865,110,929,73,29,6,-12
34,35,3943,110,15,3331,4187,-4366,-2822,-1401,1071,8067,7622,-186,1493,2184,3797,82,595,43,58,-11,6
35,36,4056,111,13,1799,898,-1530,-1130,-551,514,8065,7626,-234,1437,2115,3719,126,137,43,29,6,-12
36,38,4281,110,20,1384,1476,-944,-1148,-1024,256,8006,7739,-274,1366,1984,3591,77,226,98,81,6,18
37,39,4395,111,14,1634,1128,-1171,-1211,-973,592,8001,7789,-298,1333,1906,3532,121,220,85,69,-11,24
38,40,4508,110,18,1515,16,-769,-460,-651,349,8020,7770,-346,1306,1840,3457,165,95,43,81,11,-6
39,41,4620,110,19,1355,1085,-1009,-835,-785,189,7982,7806,-391,1263,1769,3379,60,196,49,52,0,-12
40,42,4732,110,13,1064,786,-286,-529,-1061,27,7953,7797,-419,1245,1694,3308,77,113,79,98,-6,0
41,43,4844,110,16,1097,865,-347,-702,-951,38,7927,7804,-440,1218,1629,3240,82,143,91,81,11,6
42,44,4956,111,14,1134,818,89,-1162,-1044,164,7900,7788,-431,1175,1551,3171,82,101,146,52,-11,6
43,45,5068,110,18,1460,1723,2384,-2956,-2132,-479,7889,7759,-231,1145,1495,3102,110,77,494,75,29,6
