#Recorded data from Servotor32
#datetime: 20-11-2020_23h-37m-20s
#filename: wave_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_23h-37m-20s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,0.0,-0.03,-0.018,-0.006,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.012,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,1,0.113,0.111,0.013,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.461,0.379,1.779,3.179,4.579,5.979,0.011,-0.03,-0.024,0.006,-0.006,0.012,0.011,0.0,0.0,0.006,0.0,0.012,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.692,0.068,0.19,0.433,0.713,0.889,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
2,2,0.227,0.11,0.017,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.94,0.308,1.708,3.108,4.508,5.908,0.247,-0.006,0.018,0.006,0.017,0.035,0.247,0.0,0.018,0.006,0.017,0.035,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.579,5.979,0.771,0.064,0.181,0.418,0.945,0.947,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
3,3,0.339,0.11,0.019,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.418,0.236,1.636,3.036,4.436,5.837,0.703,-0.024,-0.012,0.04,0.029,0.1,0.703,0.0,0.0,0.04,0.029,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.579,5.979,0.834,0.06,0.172,0.404,0.941,0.943,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
4,4,0.453,0.111,0.013,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.901,0.164,1.564,2.964,4.364,5.765,0.94,-0.024,-0.018,0.023,0.011,0.018,0.94,0.0,0.0,0.023,0.011,0.018,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.579,5.979,0.883,0.057,0.164,0.389,0.935,0.939,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
5,6,0.676,0.111,0.014,6.701,-7.435,-4.206,-0.887,1.508,4.319,6.875,0.014,1.41,2.846,4.23,5.647,1.027,-0.012,-0.018,0.046,0.017,0.047,1.0,0.0,0.0,0.046,0.017,0.047,1.0,0.0,0.0,0.046,0.017,0.047,0.982,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.579,5.979,0.945,0.051,0.147,0.366,0.924,0.932,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
6,7,0.789,0.111,0.018,6.636,-7.16,-3.902,-1.152,1.399,4.179,7.358,-0.065,1.352,2.79,4.167,5.595,1.0,-0.012,0.024,0.029,0.017,0.035,1.0,0.0,0.024,0.029,0.017,0.035,1.0,0.0,0.024,0.029,0.017,0.035,0.232,0.0,0.0,0.0,0.0,0.001,3.679,3.468,3.5,3.5,2.29,2.99,0.0,-0.065,0.0,0.0,0.0,0.0,7.358,7.0,7.0,7.0,4.579,5.979,0.95,0.05,0.141,0.355,0.918,0.929,3.5,0.523,1.923,3.323,4.723,6.123,0.8,0.834,0.841,0.841,1.286,0.985
7,8,0.9,0.11,0.019,6.331,-6.663,-4.095,-1.006,1.299,4.133,7.8,-0.123,1.27,2.738,4.096,5.546,0.934,0.024,-0.018,0.035,0.0,0.041,0.934,0.024,0.0,0.035,0.0,0.041,0.934,0.024,0.0,0.035,0.0,0.041,0.006,0.0,0.0,0.0,0.0,0.001,3.9,3.438,3.5,3.5,2.29,2.99,0.0,-0.123,0.0,0.0,0.0,0.0,7.8,7.0,7.0,7.0,4.579,5.979,0.95,0.05,0.133,0.345,0.911,0.925,3.5,0.523,1.923,3.323,4.723,6.123,0.755,0.827,0.841,0.841,1.286,0.985
8,9,1.014,0.112,0.014,5.589,-6.149,-3.637,-0.875,1.346,3.726,8.192,-0.199,1.187,2.671,4.026,5.493,0.83,-0.006,-0.018,0.012,0.006,0.035,0.83,0.0,0.0,0.012,0.006,0.035,0.83,0.0,0.0,0.012,0.006,0.035,0.0,0.0,0.0,0.0,0.0,0.0,4.096,3.4,3.5,3.5,2.29,2.99,0.0,-0.199,0.0,0.0,0.0,0.0,8.192,7.0,7.0,7.0,4.579,5.979,0.95,0.05,0.125,0.332,0.903,0.922,3.5,0.523,1.923,3.323,4.723,6.123,0.719,0.818,0.841,0.841,1.286,0.985
9,10,1.127,0.11,0.017,2.884,-3.612,-1.888,-0.208,0.726,2.098,8.347,-0.277,1.112,2.622,3.961,5.447,0.412,-0.012,-0.006,0.04,0.011,0.047,0.412,0.0,0.0,0.04,0.011,0.047,0.412,0.0,0.0,0.04,0.011,0.047,0.0,0.0,0.0,0.0,0.0,0.0,4.174,3.362,3.5,3.5,2.29,2.99,0.0,-0.277,0.0,0.0,0.0,0.0,8.347,7.0,7.0,7.0,4.579,5.979,0.95,0.05,0.118,0.323,0.896,0.918,3.5,0.523,1.923,3.323,4.723,6.123,0.706,0.809,0.841,0.841,1.286,0.985
